Acceleration_0,Acceleration_1,Acceleration_2,Pulling,Velocity,Difference
312.99,313.15,303.7,1060.51,0.08,0
313.04,313.07,304.1,1153.99,0.07,0
313.11,313.17,303.73,1360.29,0.08,1.666666667
314.18,308.9,302.99,1289.38,4.52,11.66666667
313.56,308.55,303.03,931.58,10.65,11.66666667
312.12,287.6,303,1031.5,0.31,18.33333333
314.03,309.72,302.8,1083.08,12.72,1.666666667
312.32,319.12,305.31,1028.28,4.76,10
312.91,332.66,301.98,915.46,13.42,16.66666667
312.62,301.66,306.32,1141.1,2.53,11.66666667
314.02,307.11,302.75,1205.57,11.57,10
312.33,322.81,305.38,1047.62,14.72,6.666666667
312.6,328.94,302.37,905.79,0.85,13.33333333
313.76,304.76,305.28,1025.05,11.27,15
313.43,307.54,303.11,1179.78,5.36,15
312.64,319.14,305.71,1018.61,18.94,3.333333333
312.87,322.09,302.77,909.01,3.52,15
313.78,309.94,303.7,1092.75,16.64,6.666666667
313.53,310.01,303.23,1092.75,0.91,10
312.65,318.46,305.31,1025.05,17.41,11.66666667
313.33,318.85,303.51,909.01,11.19,18.33333333
313.67,310.6,302.61,1118.53,6.59,11.66666667
313.82,311.97,303.81,1086.3,2.3,3.333333333
312.88,320.28,304.91,970.26,15.33,11.66666667
312.9,317.14,304.16,912.23,16.94,15
314.15,308.82,302.7,1095.97,0.69,15
313.55,312.26,303.69,1099.19,19.16,8.333333333
312.52,327.42,304.63,1005.71,8.05,6.666666667
313.14,314.21,304.33,812.31,17.1,13.33333333
314.54,308.2,302.77,1086.3,3.22,18.33333333
313.53,313.16,303.73,1037.95,14.41,8.333333333
312.56,327.37,304.93,996.04,16.48,8.333333333
313.6,310.79,303.97,928.35,17.64,11.66666667
314.29,309.34,302.95,1066.96,11.73,10
313.67,313.05,303.57,1105.64,6.67,6.666666667
312.91,323.56,304.92,1008.94,18.32,13.33333333
313.72,310.33,304.15,889.67,2.99,15
314.07,309.05,302.58,1086.3,17.33,13.33333333
313.87,312.78,303.59,1092.75,0.46,5
313.13,321.93,305.25,1018.61,17.78,13.33333333
313.19,312.32,303.91,892.89,11.5,13.33333333
314.78,308.96,303.15,1060.51,5.9,16.66666667
314.08,311.82,303.62,1163.66,4.98,6.666666667
314.16,310.97,303.51,973.48,12.72,6.666666667
313.15,318.43,305.2,834.87,17.1,15
313.22,329.3,303.02,1015.38,1.15,13.33333333
314.93,290.31,304.14,1189.45,16.18,15
314.4,309.46,303.48,1102.42,1.3,6.666666667
313.45,317.05,304.8,947.69,16.94,5
313.75,334.92,302.62,876.78,14.56,16.66666667
314.35,287.35,304.75,1157.22,4.83,6.666666667
314.84,306.32,302.85,1118.53,16.25,10
313.62,316.33,303.99,992.82,8.28,13.33333333
313.78,333.25,303,883.22,15.71,13.33333333
313.66,306.4,304.16,1063.74,4.14,16.66666667
314.49,310.84,302.88,1089.52,15.41,3.333333333
314.07,313.77,303.75,1092.75,15.02,10
313.62,316.43,304.62,841.32,17.55,13.33333333
313.97,317.61,303.06,950.92,13.5,15
314.6,291.24,304.36,1153.99,2.91,11.66666667
314.74,308.45,303.33,1034.73,17.78,8.333333333
313.68,317.9,304.88,970.26,11.5,8.333333333
313.89,335.43,302.37,886.45,16.63,15
314.34,295.79,304.18,1070.18,9.74,15
314.99,309.69,303.2,1115.31,8.27,11.66666667
314.03,315.12,303.79,989.6,16.33,3.333333333
313.36,327.51,304.91,857.44,5.9,16.66666667
314.25,301.11,304.11,1070.18,13.41,6.666666667
314.76,300.91,304.42,1153.99,1.92,10
314.59,311.73,303.59,996.04,17.55,10
313.3,327.49,305.03,673.7,12.73,13.33333333
314.45,322.63,303.06,944.47,3.6,15
314.73,293.86,304.2,1141.1,11.5,8.333333333
314.79,308.8,303.33,954.14,6.9,6.666666667
313.78,319.24,305.07,967.03,15.4,15
313.83,336.87,302.51,825.2,6.52,15
315.19,292.75,304.87,1128.21,12.04,11.66666667
315.08,307.23,303.26,1124.98,3.91,10
314.28,314.63,304.3,954.14,15.1,6.666666667
314.03,330.81,303.58,928.35,13.95,10
314.66,302.81,303.86,979.93,2.14,18.33333333
315.39,310.65,303.26,1131.43,17.86,11.66666667
314.46,313.67,303.58,1047.62,2.76,0
314.01,317.61,304.58,844.54,19.01,16.66666667
314.6,313.64,303.5,880,7.59,11.66666667
315.07,292.06,304.26,1160.44,7.66,10
315.12,309.1,303.54,1095.97,19.4,10
313.65,321.51,305.49,1021.83,12.8,8.333333333
314.66,335.35,302.83,751.06,21.01,18.33333333
314.02,305.63,305.68,1070.18,0.07,10
315.45,307,303.48,1031.5,14.72,6.666666667
314.1,318.94,304.64,867.11,17.17,13.33333333
314.87,330.38,302.15,834.87,15.33,6.666666667
315.63,284.52,304.91,1041.17,10.59,3.333333333
315.46,307.55,303.31,1070.18,7.36,18.33333333
314.21,318.77,304.3,921.9,17.7,15
314.47,334.06,302.78,844.54,3.37,13.33333333
314.99,298.28,304.07,1231.36,20.93,16.66666667
315.56,309.27,303.58,1037.95,0.15,3.333333333
314.26,318.83,304.5,944.47,15.48,10
314.32,335.27,303.92,715.6,16.18,16.66666667
314.94,292.46,304.86,944.47,3.06,11.66666667
315.77,306.38,303.58,1179.78,9.36,11.66666667
314.92,315.89,304.01,828.42,11.5,8.333333333
314.54,332.75,302.69,863.88,14.95,10
315.19,302.57,304.03,809.08,1.53,16.66666667
315.77,309.63,303.5,1089.52,18.48,11.66666667
314.65,317.06,304.11,1018.61,2.91,6.666666667
314.54,321.79,304.85,815.53,-62780.83,10
315.27,297.32,304.22,1054.07,6.9,16.66666667
315.98,308.98,303.49,1124.98,9.43,15
314.98,315.58,303.89,925.13,17.71,-1.666666667
314.14,333.85,304.61,770.4,17.48,15
315.48,293.77,304.53,831.65,13.26,13.33333333
316.19,306.95,303.29,1160.44,1.84,5
314.97,316.6,304.11,892.89,19.55,10
314.94,332.83,302.65,999.27,5.29,15
315.27,295.12,304.09,812.31,19.01,16.66666667
316.16,307.83,303.44,1083.08,0.54,3.333333333
314.6,319.54,304.25,999.27,15.26,8.333333333
314.59,338.15,303.85,722.05,18.32,16.66666667
315.36,287.33,304.94,876.78,1.92,16.66666667
316.46,305.19,303.24,1057.29,7.36,11.66666667
314.69,319.21,304.05,963.81,9.35,3.333333333
314.87,339.27,303.32,625.35,18.63,10
315.42,286.43,304.38,928.35,0.31,15
316.5,304.7,303.35,1121.76,15.56,16.66666667
314.73,319.87,304.71,841.32,3.22,-1.666666667
315.56,328.46,302.17,802.64,14.18,15
315.94,279.36,304.41,850.99,7.13,15
316.52,304.89,303.37,979.93,14.41,3.333333333
314.19,322.86,304.87,934.8,13.34,10
