Acceleration_0,Acceleration_1,Acceleration_2,Pulling,Velocity,Difference
309.56,308.2,302.97,802.64,9.89,18.33333333
309.2,314.27,305.06,1021.83,0.08,0
309.48,307.93,306.76,1186.23,0.15,3.333333333
309.48,307.48,304.28,867.11,1.15,8.333333333
309.23,317.21,305,1189.45,2.91,1.666666667
309.57,309.62,303.92,863.88,7.36,8.333333333
309.63,312.37,304.28,1228.13,0.15,10
309.83,310.74,304.12,934.8,11.81,1.666666667
308.82,315.71,304.1,902.56,12.65,13.33333333
310.05,317.33,305.85,1008.94,0,-1.666666667
308.67,333.73,304.16,792.97,15.41,15
309.52,297.23,306.01,1112.09,0.38,1.666666667
310.15,306.62,303.87,918.68,15.1,10
309.23,315.81,306.84,896.12,9.58,15
310.03,305.29,303.29,1060.51,11.19,5
309.18,316.33,305.24,1031.5,5.98,10
309.99,313.44,304.88,812.31,16.02,16.66666667
309.59,326.79,305.56,941.25,4.68,10
308.91,303.62,303.74,1076.63,10.58,5
310.13,316.49,304.74,818.75,8.59,15
309.15,326.1,303.91,918.68,17.02,15
309.14,317.51,304.09,1057.29,4.06,11.66666667
310.39,296.98,305.65,954.14,17.1,6.666666667
310.02,307.85,303.83,892.89,9.2,15
309.62,318.14,306.21,896.12,15.72,13.33333333
309.25,312.04,303.06,1012.16,6.06,10
310.49,315.84,304.57,892.89,15.56,8.333333333
309.37,322.83,303.67,909.01,11.42,11.66666667
309.69,314.74,306.1,918.68,15.41,8.333333333
310.37,301.72,304.19,1031.5,7.9,11.66666667
310.15,313.51,304.72,850.99,13.72,11.66666667
309.38,321.16,305.08,944.47,12.27,13.33333333
309.53,320.34,304.08,1008.94,6.44,10
311.15,296.69,305.91,947.69,8.74,8.333333333
309.78,307.98,304,886.45,11.35,16.66666667
309.91,313.62,306.09,947.69,12.27,11.66666667
309.46,322.58,302.16,1073.41,7.05,10
309.81,302.22,306.31,902.56,16.18,8.333333333
309.97,314.02,303.43,915.46,8.13,13.33333333
310.1,312.27,307.03,883.22,12.11,11.66666667
309.38,326.29,302,1092.75,12.04,15
310.16,306.22,306.74,1070.18,10.27,11.66666667
310.24,306.6,303.23,1031.5,11.5,8.333333333
310,315.74,304.63,825.2,7.05,8.333333333
309.38,323.26,303.97,941.25,15.79,15
310.09,324.62,304.85,957.36,11.19,6.666666667
309.52,331.09,305.16,1031.5,8.51,13.33333333
310.09,307.79,303.27,1037.95,10.58,5
