Acceleration_0,Acceleration_1,Acceleration_2,Pulling,Velocity,Difference
308.2,309.5,321.17,1724.54,7.59,16.66666667
307.94,312.57,321.54,1002.49,8.97,3.333333333
308.93,309.1,321.53,970.26,10.12,11.66666667
307.71,311.93,321.61,979.93,9.81,15
308.59,309.16,321.68,996.04,10.12,11.66666667
307.97,311.38,321.7,876.78,10.96,11.66666667
308.09,310.64,321.27,938.02,11.34,10
308.1,311.92,321.65,941.25,10.89,10
308.65,310.75,321.56,934.8,11.19,13.33333333
308.29,311.83,321.73,931.58,11.35,10
307.69,312.54,321.29,905.79,12.27,13.33333333
308.39,312.7,321.8,963.81,12.11,10
308.01,313.06,321.35,928.35,11.04,13.33333333
308.11,312.97,321.44,880,11.04,11.66666667
308.13,314.27,321.61,880,11.42,13.33333333
307.91,314.54,321.35,889.67,11.88,11.66666667
308.28,315.16,321.71,938.02,11.88,5
307.81,315.46,321.34,899.34,10.96,13.33333333
308.06,316.13,321.7,886.45,11.73,8.333333333
308.27,311.96,321.48,896.12,11.5,13.33333333
307.75,312.74,321.33,892.89,11.42,13.33333333
308.01,312.34,321.37,899.34,10.81,10
308,313.08,321.5,909.01,11.27,15
307.95,313.61,321.45,880,12.11,11.66666667
307.76,314.59,321.34,909.01,11.88,10
307.93,315.2,321.36,834.87,11.04,10
308.05,316.21,321.46,867.11,10.2,15
307.69,316.66,321.27,880,11.34,8.333333333
307.99,316.97,321.44,892.89,12.04,11.66666667
307.85,317.68,321.4,899.34,11.34,11.66666667
307.73,317.12,321.32,860.66,10.35,11.66666667
307.84,316.56,321.47,899.34,10.66,10
307.7,315.83,321.18,899.34,11.27,13.33333333
307.78,316.16,321.31,892.89,11.27,3.333333333
307.72,315.81,321.3,834.87,10.35,13.33333333
307.75,315.25,321.26,854.21,9.97,10
307.82,315.3,321.32,892.89,10.88,13.33333333
307.36,315.36,321.26,928.35,11.12,11.66666667
307.7,314.39,321.47,931.58,10.81,13.33333333
307.67,313.82,321.28,925.13,10.42,11.66666667
307.56,314.07,321.21,876.78,11.12,11.66666667
307.64,313.86,321.13,912.23,11.58,11.66666667
307.53,313.79,321.25,847.77,11.65,10
307.69,313.14,321.37,896.12,10.73,10
307.42,311.52,321.06,950.92,9.97,10
307.51,310.45,321.25,909.01,11.19,13.33333333
307.56,309.59,321.32,915.46,12.42,10
307.38,308.67,320.99,918.68,10.81,13.33333333
307.66,308.58,321.22,892.89,9.81,10
307.47,309.02,321.13,902.56,10.58,10
307.51,308.95,321.04,909.01,11.65,6.666666667
307.51,308.64,321.05,857.44,12.27,11.66666667
307.49,309.01,320.96,889.67,10.5,11.66666667
307.55,309.73,321.03,863.88,10.5,11.66666667
307.4,309.94,320.92,792.97,11.12,11.66666667
307.56,310.94,320.93,844.54,12.03,15
307.46,312,320.98,809.08,11.42,11.66666667
307.47,312.31,320.85,1795.46,10.35,10
307.3,313.04,320.99,834.87,10.96,13.33333333
307.5,312.52,320.85,825.2,11.04,10
307.36,313.58,320.94,825.2,11.57,13.33333333
307.3,314.15,320.84,838.1,10.81,11.66666667
307.28,315.05,320.91,854.21,10.66,11.66666667
307.34,315.39,321,825.2,11.65,11.66666667
307.26,316,320.85,857.44,11.96,6.666666667
307.22,316.34,320.83,773.63,11.04,15
307.28,316.66,320.95,867.11,10.04,5
307.13,317.7,320.87,844.54,11.12,10
307.18,317.17,320.84,844.54,11.58,10
307.18,316.99,320.87,873.55,11.5,11.66666667
307.21,316.49,320.76,815.53,10.73,10
307.06,316.5,320.8,860.66,10.35,10
307.2,315.91,320.75,870.33,12.65,15
307.06,315.64,320.84,854.21,11.88,11.66666667
307.04,314.75,320.72,921.9,11.04,10
307.1,314.38,320.78,825.2,11.27,10
307.05,313.92,320.74,873.55,11.73,11.66666667
307,313.58,320.82,905.79,12.34,11.66666667
306.94,313.17,320.72,912.23,12.19,11.66666667
306.97,312.33,320.71,857.44,11.42,13.33333333
307.01,312.34,320.69,828.42,11.96,10
306.94,312.39,320.59,867.11,12.19,13.33333333
306.93,312.37,320.65,889.67,12.04,6.666666667
306.96,311.43,320.58,921.9,12.03,13.33333333
306.93,311.22,320.57,905.79,11.81,11.66666667
306.89,311.01,320.54,889.67,12.8,13.33333333
306.87,311.47,320.52,902.56,13.57,11.66666667
306.88,310.75,320.59,863.88,12.42,13.33333333
306.89,311,320.47,857.44,12.19,13.33333333
306.7,311.24,320.43,892.89,12.34,13.33333333
307.05,311.03,320.61,796.19,12.95,15
306.74,312.22,320.33,880,13.49,13.33333333
307.02,312.2,320.43,847.77,12.42,15
306.73,313.01,320.31,841.32,12.34,11.66666667
306.91,313.75,320.4,844.54,13.26,15
306.8,314.14,320.39,818.75,12.95,11.66666667
306.68,313.88,320.19,841.32,12.27,0
306.89,314.16,320.55,863.88,12.19,10
306.64,314.66,320.22,850.99,12.88,26.66666667
306.63,315.43,320.39,815.53,13.03,15
306.66,315.31,320.41,792.97,12.49,11.66666667
306.55,315.99,320.23,773.63,12.34,13.33333333
306.7,315.77,320.35,841.32,13.19,11.66666667
306.51,315.94,320.15,805.86,13.11,13.33333333
306.65,315.09,320.34,834.87,12.57,13.33333333
306.62,315.86,320.21,763.96,13.03,11.66666667
306.48,315.42,320.09,825.2,11.88,8.333333333
306.54,315.61,320.3,828.42,12.96,11.66666667
306.48,314.74,320.17,815.53,12.88,13.33333333
306.42,314.89,320.23,818.75,12.27,11.66666667
306.4,314.17,320.18,792.97,11.81,13.33333333
306.39,313.33,320.13,812.31,12.27,11.66666667
306.45,312.52,320.22,825.2,14.03,15
306.38,311.93,319.97,815.53,13.18,13.33333333
306.43,311.3,320.14,841.32,12.73,13.33333333
306.41,311.6,320.07,831.65,13.26,13.33333333
306.4,311.07,319.98,828.42,13.26,13.33333333
306.34,310.82,320.05,860.66,13.49,15
306.42,310.78,319.99,834.87,12.95,11.66666667
306.35,310.95,319.97,696.26,12.8,13.33333333
306.38,311.6,319.92,786.52,13.34,13.33333333
306.34,311.17,319.91,789.74,13.11,13.33333333
306.34,311.96,319.96,812.31,12.73,13.33333333
306.4,311.12,319.95,841.32,12.8,8.333333333
306.28,311.73,319.9,731.72,13.72,11.66666667
306.37,311.65,319.8,763.96,14.03,15
306.39,312.18,319.68,825.2,12.73,15
306.3,312.87,319.73,792.97,12.19,10
306.27,313.28,319.76,880,12.65,13.33333333
306.31,313.42,319.74,815.53,12.42,11.66666667
306.25,313.69,319.72,773.63,13.11,16.66666667
306.2,314.1,319.74,780.07,12.57,11.66666667
306.2,314.16,319.78,789.74,12.19,16.66666667
306.17,314.68,319.7,760.73,12.5,13.33333333
306.1,315.14,319.71,773.63,13.03,13.33333333
306.14,315.24,319.72,738.17,12.88,13.33333333
306.14,314.62,319.65,767.18,12.03,11.66666667
306.09,314.73,319.63,776.85,12.11,11.66666667
306.08,315.05,319.61,734.95,12.95,15
306.07,315.61,319.62,606.01,13.11,13.33333333
306.17,313.8,319.54,731.72,12.34,6.666666667
306.08,313.62,319.52,651.14,12.42,13.33333333
306.06,314.08,319.54,799.41,12.57,13.33333333
306,313.9,319.53,644.69,12.73,11.66666667
306.07,314.47,319.54,802.64,13.26,13.33333333
305.93,315.06,319.47,731.72,11.88,11.66666667
306.01,315.76,319.51,783.3,12.57,13.33333333
305.99,316.49,319.49,760.73,13.34,13.33333333
305.9,316.38,319.41,767.18,13.03,13.33333333
305.97,316.13,319.5,776.85,12.03,11.66666667
305.92,315.74,319.4,754.29,11.5,16.66666667
305.94,315.57,319.36,709.16,13.19,11.66666667
305.89,314.85,319.49,712.38,12.57,13.33333333
305.84,314.89,319.36,715.6,12.27,13.33333333
305.86,314.89,319.47,725.27,11.88,11.66666667
305.84,314.31,319.37,709.16,12.42,11.66666667
305.73,313.98,319.38,744.62,12.73,11.66666667
305.82,312.73,319.41,802.64,12.57,11.66666667
305.8,312.21,319.26,747.84,12.57,8.333333333
305.88,311.69,319.26,738.17,12.49,13.33333333
305.8,311.69,319.33,728.5,12.96,13.33333333
305.75,311.67,319.22,702.71,13.26,15
305.84,311.65,319.29,715.6,12.11,11.66666667
305.76,310.63,319.15,731.72,11.65,11.66666667
305.85,310.61,319.2,689.82,12.65,13.33333333
305.85,309.64,319.17,760.73,13.19,15
305.71,310.35,319.11,696.26,13.18,13.33333333
305.82,310.22,319.19,744.62,12.34,13.33333333
305.77,310.88,319.12,709.16,12.73,11.66666667
305.73,310.95,319.1,699.49,13.03,13.33333333
305.82,310.92,319.11,731.72,13.19,15
305.7,311.1,318.99,693.04,11.81,13.33333333
305.83,311.74,319.08,696.26,12.42,10
305.77,313.1,319.03,657.58,13.41,13.33333333
305.76,312.98,318.97,657.58,13.03,8.333333333
305.71,313.53,318.97,670.48,12.42,13.33333333
305.75,313.41,319.05,699.49,11.96,11.66666667
305.56,314.06,318.99,705.93,12.34,13.33333333
305.7,314.14,319.01,664.03,13.03,13.33333333
305.66,314.68,318.97,867.11,12.96,15
305.58,314.87,318.94,670.48,12.73,11.66666667
305.66,314.65,319,699.49,11.88,13.33333333
305.53,315.82,318.92,660.81,12.8,13.33333333
305.58,315.13,318.96,625.35,12.34,13.33333333
305.55,315.19,318.91,712.38,12.65,13.33333333
305.53,315.09,318.85,693.04,12.11,13.33333333
305.56,315.2,318.89,696.26,12.8,13.33333333
305.44,315.47,318.85,696.26,13.26,11.66666667
305.59,315.71,318.89,709.16,12.73,15
305.51,315.34,318.81,738.17,12.11,13.33333333
305.52,315.4,318.76,702.71,11.88,11.66666667
