Acceleration_0,Acceleration_1,Acceleration_2,Pulling,Velocity,Difference
313.31,307.53,302.53,999.27,4.91,18.33333333
312.73,302.11,304.77,1025.05,0.23,0
313.87,309.89,302.99,1195.9,9.97,16.66666667
312.33,322.58,305.31,1047.62,8.35,15
312.98,329.62,302.25,973.48,9.43,13.33333333
313.34,301.31,305.32,979.93,3.3,5
313.67,308.31,303.25,1295.82,7.67,8.333333333
312.09,321.45,305.4,1060.51,14.8,15
312.41,321.92,302.74,986.37,0.38,16.66666667
313.44,296.83,305.52,889.67,14.34,0
313.55,308.03,303.41,1208.79,2.91,16.66666667
312.32,320.81,305.73,1031.5,16.56,13.33333333
312.79,322.39,302.95,925.13,5.21,5
313.59,309.14,303.24,950.92,13.8,11.66666667
313.37,310.4,303.49,1218.46,0.46,16.66666667
312.52,320.34,305.3,1044.4,17.78,13.33333333
313.27,314.32,303.74,886.45,12.42,10
313.75,310.91,302.6,944.47,5.6,6.666666667
313.39,313.12,303.74,1173.33,17.94,15
312.64,325.03,305.24,1054.07,14.95,15
313,307.5,304.62,857.44,18.48,11.66666667
314.25,310.03,303.22,954.14,0.77,6.666666667
313.13,315.94,304.02,1760,17.17,11.66666667
312.72,330.5,304.31,1012.16,11.19,18.33333333
313.49,298.34,305.14,876.78,19.09,11.66666667
314.34,307.62,303.18,1031.5,1.76,0
312.98,317.7,304.32,1179.78,15.56,18.33333333
312.78,331.13,303.7,1028.28,16.56,10
313.71,296.13,305.36,928.35,1,3.333333333
314.22,307.19,302.97,1021.83,9.2,11.66666667
313.08,318.18,304.65,1163.66,9.58,10
313.07,335.15,302.24,1012.16,17.86,5
313.97,290.66,305.52,831.65,1.23,16.66666667
314.43,305.43,302.61,1076.63,17.32,15
312.8,321.34,305.06,1144.32,2.61,16.66666667
313.51,338.1,301.28,1012.16,17.63,11.66666667
314.27,287.53,305.75,880,6.98,3.333333333
314.57,304.84,302.32,876.78,10.27,11.66666667
313.05,320.56,305.19,1124.98,18.32,16.66666667
313.61,335.09,301.71,1031.5,16.48,11.66666667
314.45,287.1,305.46,883.22,15.64,10
314.56,306.04,302.82,1124.98,2.22,5
314.1,310.37,303.43,1157.22,16.87,16.66666667
313.17,317.08,304.81,986.37,10.5,15
313.47,329.4,302.78,844.54,16.63,10
314.63,287.23,304.3,889.67,5.52,6.666666667
314.4,308.48,303.13,1112.09,11.96,11.66666667
313.27,318.05,304.88,967.03,18.55,13.33333333
313.75,334.08,302.38,902.56,0.77,16.66666667
313.95,289.86,305.2,763.96,17.09,0
314.52,307.54,303.01,1095.97,0.92,16.66666667
313.52,317.27,304.45,1037.95,15.71,13.33333333
313.32,336.52,303.3,915.46,13.41,10
313.79,299.94,304.02,902.56,5.6,6.666666667
314.71,306.22,303.68,1018.61,8.36,11.66666667
314.09,312.93,303.51,1089.52,10.2,13.33333333
313.26,321.79,305.03,992.82,16.02,13.33333333
313.49,326.4,303.25,815.53,3.76,13.33333333
314.24,296.12,304.66,902.56,14.57,5
314.65,307.9,303.11,1121.76,1.15,13.33333333
313.48,317.81,304.9,1083.08,15.41,13.33333333
313.86,335.69,303.13,934.8,17.02,15
314.71,288.25,304.54,870.33,1.54,0
314.8,307.76,303.38,1054.07,16.25,15
313.82,316.88,304.29,979.93,6.13,16.66666667
313.89,331.82,302.08,1021.83,14.11,5
314.08,302.2,304.56,783.3,7.13,6.666666667
314.68,309.65,303.1,1047.62,12.27,15
314.05,316.29,304.19,1050.84,16.25,15
313.77,325.69,304.45,989.6,16.1,11.66666667
314.39,308.22,303.88,815.53,16.56,6.666666667
314.77,311.28,303.33,1005.71,2.45,10
314.22,308.04,303.19,1095.97,15.56,15
314.35,313.24,303.86,905.79,10.35,16.66666667
313.81,324.13,305.07,892.89,13.72,6.666666667
314.3,322.55,303.18,921.9,4.14,5
314.67,312.18,303.14,1095.97,15.48,16.66666667
314.67,311.53,303.87,979.93,14.72,3.333333333
313.69,317.75,304.78,838.1,18.48,26.66666667
314.39,320.54,302.88,880,13.41,5
315.16,311.07,303.82,1118.53,5.9,11.66666667
314.92,309.98,303.72,973.48,16.79,11.66666667
313.79,318.15,304.65,792.97,6.67,6.666666667
314.84,311.49,303.42,957.36,14.11,11.66666667
314.43,292.79,303.8,1195.9,1.46,11.66666667
314.98,309.16,303.54,896.12,20.93,18.33333333
313.44,324.88,305.59,873.55,10.58,8.333333333
314.59,326.34,303.07,789.74,6.13,8.333333333
314.06,298.91,305.36,1092.75,6.44,15
315.16,308.96,303.64,1025.05,12.19,15
313.91,318.93,304.7,905.79,18.02,13.33333333
314.27,332.59,302.56,776.85,1.84,6.666666667
314,298.05,305.41,1134.65,19.32,16.66666667
315.39,306.64,303.3,1083.08,2.76,11.66666667
314.06,318.93,304.78,889.67,22.69,20
314.9,322.99,302.26,802.64,7.13,6.666666667
315.76,279.11,304.84,1083.08,9.89,8.333333333
315.73,306.77,303.2,967.03,21.39,18.33333333
313.86,321.91,304.99,928.35,16.02,3.333333333
314.36,340.4,303.08,744.62,22.46,10
313.85,300.4,305.05,1070.18,0.99,18.33333333
315.93,305.26,303.03,1050.84,16.48,15
314.15,320.14,304.65,834.87,15.41,15
314.92,328.47,302.57,760.73,17.94,5
315.8,280.16,304.52,1099.19,4.75,11.66666667
315.81,306.49,303.16,1025.05,16.1,21.66666667
313.95,321.91,305.02,863.88,19.24,15
315.07,331.37,302.63,780.07,1.38,6.666666667
315.93,277.57,304.85,1050.84,15.56,6.666666667
316.08,305.7,303.11,928.35,7.36,20
313.91,325.17,305.43,963.81,15.64,15
314.76,342.55,303.35,647.91,4.37,15
315.86,315.53,304.14,1073.41,18.78,6.666666667
315.96,316.72,303.28,857.44,7.05,11.66666667
314.46,319.37,304.24,889.67,18.63,8.333333333
315.02,321.11,303.23,780.07,8.2,8.333333333
314.98,301.41,305.16,1057.29,10.58,18.33333333
315.77,309.46,303.71,899.34,22.08,18.33333333
313.92,328.6,305.18,847.77,17.17,5
314.76,323.57,303.41,712.38,20.62,10
315.78,314.01,303.46,999.27,3.07,20
315.42,312.95,304.31,983.15,17.4,15
314.92,317.27,303.82,760.73,11.81,16.66666667
315.29,303.33,302.93,796.19,17.02,5
315.61,302.87,304.97,1044.4,2.07,11.66666667
315.94,310.72,303.43,925.13,21.24,20
315.15,329.64,304.05,876.78,13.26,16.66666667
315.2,319.53,303.13,702.71,5.9,-1.666666667
316.18,313.13,303.57,1089.52,5.9,21.66666667
316.32,313.36,304.3,918.68,14.64,18.33333333
315.02,319.97,304.38,831.65,20.01,5
315.27,310.51,302.7,725.27,0.77,10
316.05,310.57,303.89,1086.3,18.63,16.66666667
316.01,311.41,303.93,825.2,3.22,18.33333333
314.96,331.22,304.43,863.88,17.55,0
315.03,316.05,302.98,638.24,10.73,15
