Acceleration_0,Acceleration_1,Acceleration_2,Pulling,Velocity,Difference
314.06,310.92,304.18,1173.33,9.27,3.333333333
309.77,323.99,303.44,870.33,0.23,18.33333333
312.2,301.32,303.81,1054.07,4.37,11.66666667
314.31,311.71,303.72,1112.09,7.13,1.666666667
312.02,324.32,305,1099.19,8.28,13.33333333
312.36,324.68,301.12,1018.61,1.76,10
313.1,288.28,305.25,992.82,9.28,6.666666667
314.34,307.01,303.17,1260.37,0.46,10
312.4,321.61,305.6,1063.74,15.18,20
312.98,331.86,301.26,979.93,12.57,13.33333333
313.61,291.5,304.71,944.47,4.68,6.666666667
313.71,306.1,302.66,1253.92,16.56,5
312.39,320.34,305.76,1054.07,13.49,16.66666667
313.23,329.86,302.22,912.23,19.32,16.66666667
314.02,296.07,305.99,925.13,0.61,11.66666667
314.27,306.45,302.86,1199.12,16.79,3.333333333
312.73,320.08,305.29,1054.07,4.45,13.33333333
313.57,326.97,301.55,947.69,17.63,18.33333333
313.16,295.07,305.69,860.66,4.6,-3.333333333
314.7,306.99,303.83,1215.24,13.65,25
312.88,319.78,305.63,1112.09,17.55,6.666666667
312.9,329.76,301.63,996.04,17.4,10
313.2,295.14,305.21,921.9,13.49,6.666666667
314.46,306.94,303.09,1147.55,4.91,13.33333333
312.77,320.65,305.25,1031.5,18.4,13.33333333
313.39,329.16,301.44,992.82,5.37,16.66666667
314.09,290.46,304.74,899.34,18.32,8.333333333
314.6,307.38,303.28,1179.78,0.38,5
312.64,320.27,305.41,941.25,16.25,16.66666667
313.75,333.29,302.07,1002.49,15.87,16.66666667
313.74,293.41,305.2,883.22,2.91,11.66666667
314.81,306.08,302.88,1228.13,6.59,5
312.85,320.98,305.44,1070.18,11.57,11.66666667
313.79,329.45,301.87,944.47,16.87,16.66666667
313.92,291.5,304.88,876.78,0.54,13.33333333
314.68,307.19,303.07,1202.34,17.4,5
313.04,320.99,305.5,1112.09,3.22,8.333333333
313.65,332.76,302.31,909.01,18.01,15
313.49,293.01,304.85,831.65,7.44,3.333333333
314.82,307.74,303.16,1150.77,9.2,11.66666667
313.14,318.6,304.96,1028.28,18.48,16.66666667
313.88,330.03,302.01,1008.94,14.95,13.33333333
314.64,285.01,304.76,867.11,17.48,10
314.77,307.52,303.11,1054.07,0.77,6.666666667
313.49,318.26,304.5,1176.56,15.56,10
313.55,336.63,303.25,1031.5,14.1,13.33333333
314.35,294.52,303.8,909.01,17.71,18.33333333
314.66,309.17,303.34,921.9,8.36,6.666666667
313.97,315.16,304.05,1137.88,8.51,6.666666667
313.67,318.6,304.32,1018.61,18.24,16.66666667
313.98,314.84,303.52,889.67,3.91,11.66666667
314.72,295.46,304.93,712.38,18.24,15
314.72,309.13,303.41,1160.44,1.46,6.666666667
313.61,318.3,304.92,1054.07,15.18,8.333333333
313.92,337.07,303.27,931.58,17.71,13.33333333
314.66,287.69,304.81,850.99,0.77,10
314.86,308.08,302.95,938.02,15.11,6.666666667
314.08,315.34,304.03,1083.08,1.99,11.66666667
313.8,322.5,304.86,960.59,17.4,16.66666667
314.39,320.61,304.85,902.56,12.34,13.33333333
