Acceleration_0,Acceleration_1,Acceleration_2,Pulling,Velocity,Difference
309.83,306.99,303.13,957.36,9.43,0
309.27,281.03,304.56,1183,0,21.66666667
310.02,307.37,304.47,1008.94,0.84,-1.666666667
309.52,318.91,306.46,915.46,11.12,18.33333333
308.8,336.02,303.64,896.12,8.43,15
310.88,287.27,306.99,1160.44,1.38,11.66666667
309.51,307.72,303.25,1244.25,11.73,3.333333333
309.52,318.98,306.05,1031.5,8.74,11.66666667
308.44,332.51,303.01,854.21,15.1,11.66666667
310.78,283.69,306.56,1089.52,0.46,5
309.99,304.36,303.03,1054.07,16.48,13.33333333
309.17,322.35,306.16,1008.94,14.18,16.66666667
308.21,336.71,301.36,844.54,18.48,11.66666667
310.88,285.2,305.73,1147.55,5.75,6.666666667
309.93,304.12,303.59,1034.73,13.34,11.66666667
309.31,322.36,306.58,983.15,17.55,15
308.13,334.58,301.86,828.42,0.23,16.66666667
310.03,289.47,306.42,1134.65,12.88,6.666666667
310.16,305.86,303.72,1031.5,4.98,6.666666667
309.61,321.08,306.31,979.93,18.32,16.66666667
308.61,331.2,303.07,818.75,3.83,16.66666667
310.05,289.32,305.58,1105.64,13.72,8.333333333
310.38,307.2,303.97,1054.07,0.38,3.333333333
309.48,321.27,306.41,934.8,19.09,16.66666667
308.59,328.42,302.97,809.08,12.04,8.333333333
309.84,292.06,305.59,1102.42,5.44,6.666666667
310.48,307.59,303.96,1054.07,4.22,13.33333333
309.46,319.88,306.03,967.03,12.88,16.66666667
308.54,329.87,302.83,825.2,17.86,11.66666667
310.42,291.5,305.76,1124.98,0.54,5
310.38,306.72,303.77,1012.16,17.63,13.33333333
309.66,320.25,306.24,992.82,4.45,15
309.15,329.38,303.02,838.1,17.48,15
310.22,291.27,305.75,1099.19,5.44,5
310.49,306.63,303.58,1037.95,12.27,8.333333333
309.67,319.72,306.02,973.48,16.94,16.66666667
309.19,333.11,302.85,847.77,17.79,13.33333333
310.34,290.93,305.62,1128.21,14.18,13.33333333
310.49,306.59,303.45,1070.18,3.14,3.333333333
309.66,320,305.51,957.36,17.25,15
309.24,335.42,302.9,854.21,8.82,6.666666667
310.78,288.05,305.67,1018.61,17.25,8.333333333
310.36,307.31,303.6,1076.63,3.68,13.33333333
309.98,316.78,305.09,1012.16,12.96,15
309.66,330.74,305.08,896.12,16.33,11.66666667
309.83,315.07,304.21,863.88,2.53,8.333333333
310.53,300.41,306.04,1153.99,18.17,6.666666667
310.34,309.24,303.98,1034.73,1.3,13.33333333
310.03,320.26,306.34,967.03,15.18,15
309.6,337.6,303.02,789.74,16.86,16.66666667
310.96,292.46,305.64,1047.62,2.15,6.666666667
310.46,307.52,303.82,1112.09,11.35,6.666666667
310.12,318.56,305.59,941.25,8.36,13.33333333
309.36,333.6,302.84,863.88,16.02,18.33333333
310.75,292.87,305.37,886.45,6.52,10
310.48,308.93,303.65,1147.55,12.42,10
310.17,315.74,304.82,1031.5,2.61,6.666666667
310.19,326.98,305.61,896.12,15.72,11.66666667
310.26,313.77,303.93,857.44,15.33,11.66666667
311.12,293.3,304.53,1005.71,1.46,8.333333333
310.94,291.29,304.67,1057.29,16.64,13.33333333
310.69,308.64,303.88,1005.71,2.07,13.33333333
310.39,317.71,305.51,792.97,19.17,15
309.59,333.5,302.83,921.9,10.89,5
310.83,295.03,305.13,1137.88,4.6,10
310.66,308.76,303.81,960.59,18.24,13.33333333
310.32,315.84,304.68,944.47,8.66,16.66666667
310.17,328.89,305.13,812.31,18.63,8.333333333
310.65,305.9,304.45,1102.42,2.45,10
310.74,300.86,305.36,1047.62,12.73,10
310.89,310.51,303.96,915.46,18.47,10
310.25,318.35,305.48,828.42,15.41,18.33333333
309.73,331.18,302.96,992.82,15.79,0
311.43,288.23,305.3,1044.4,1.38,15
311.03,308.38,303.78,976.7,16.02,11.66666667
310.4,316.86,304.87,915.46,12.96,11.66666667
309.78,338.11,303.93,850.99,18.94,8.333333333
311.22,294.85,304.51,1118.53,7.59,8.333333333
311.49,306.86,304.07,1034.73,7.82,16.66666667
310.78,313.35,304.24,860.66,19.01,11.66666667
310.6,324.31,306.16,863.88,3.3,13.33333333
310.19,323.92,303.05,1066.96,19.39,5
311.07,309.62,305.06,973.48,0.54,8.333333333
311.28,309.37,304.04,986.37,14.18,18.33333333
310.52,317.44,305.18,786.52,18.71,13.33333333
310.28,325.61,302.67,970.26,0.92,13.33333333
312.05,283.75,305.07,1131.43,14.11,1.666666667
311.46,307.07,303.19,841.32,5.6,13.33333333
310.38,320.01,304.93,863.88,15.18,18.33333333
310.03,342.66,303.72,805.86,9.58,10
311.62,289.8,305.2,1163.66,9.28,1.666666667
311.43,307.99,303.44,1060.51,3.45,15
310.9,314.88,304.75,892.89,15.95,11.66666667
310.35,332.22,304.48,883.22,15.25,10
310.57,312.15,303.72,1034.73,1.23,6.666666667
311.56,311.76,303.79,1063.74,19.09,13.33333333
310.98,313.46,304.46,973.48,4.68,18.33333333
310.69,318.06,305.16,754.29,19.09,-1.666666667
311.04,310.14,303.86,1089.52,5.37,13.33333333
311.22,293.85,303.67,1099.19,9.2,15
311.53,310.17,303.7,918.68,21.46,13.33333333
310.4,330.84,304.83,854.21,15.25,16.66666667
310.81,319.46,303.26,989.6,17.71,8.333333333
311.78,312.22,303.89,1050.84,1.46,6.666666667
311.65,310.84,304.19,867.11,14.87,15
310.67,316.91,304.71,763.96,12.27,13.33333333
311.19,316.13,303.22,992.82,15.26,16.66666667
311.98,295.91,305.25,1124.98,3.83,0
311.75,308.88,303.54,963.81,15.18,11.66666667
310.6,320.61,305.38,767.18,15.64,13.33333333
310.84,329.02,303.11,902.56,1.23,3.333333333
310.62,300.57,305.56,1083.08,12.19,13.33333333
311.8,307.78,303.54,986.37,5.52,16.66666667
310.8,318.72,305.44,786.52,15.56,11.66666667
310.93,332.15,303.16,944.47,5.98,8.333333333
312.08,315.84,304.19,1089.52,14.41,6.666666667
311.46,315.82,303.3,915.46,7.13,16.66666667
311.06,318.96,305.21,863.88,13.26,15
310.82,330.17,303.02,899.34,14.26,10
312.07,310.49,304.28,1008.94,5.21,3.333333333
311.92,310.1,304.04,931.58,17.33,15
311.04,317.98,305.25,792.97,14.18,16.66666667
310.93,322.05,302.63,631.79,18.32,11.66666667
312.11,310.82,304.43,1128.21,0.54,1.666666667
312.01,309.83,303.86,812.31,18.7,15
311.06,318.07,305.01,783.3,9.97,13.33333333
310.62,321.01,302.84,844.54,19.93,1.666666667
312.22,313.53,303.87,1021.83,1,11.66666667
311.86,313.36,304.24,986.37,14.11,18.33333333
310.94,316.35,304.59,647.91,20.32,11.66666667
311.74,293.05,304.12,1008.94,0.54,8.333333333
312.57,307.39,304.35,1115.31,12.19,10
311.86,315.02,304.19,873.55,8.97,11.66666667
310.96,331.57,304.14,763.96,17.25,16.66666667
311.85,291.66,303.81,947.69,0.77,5
312.62,306.05,303.09,1005.71,16.79,13.33333333
311.48,317.75,304.74,847.77,3.07,10
311.17,327.77,302.96,818.75,14.49,18.33333333
311.97,290.16,303.24,986.37,8.13,5
312.7,307.37,303.59,831.65,13.26,10
311.11,321.48,305.08,841.32,12.19,15
311.9,310.22,302.54,847.77,16.79,1.666666667
