Acceleration_0,Acceleration_1,Acceleration_2,Pulling,Velocity,Difference
308.71,331.15,324.42,763.96,15.64,28.33333333
310.96,315.85,321.68,831.65,6.59,0
309.01,312.04,323.58,841.32,10.43,20
310.43,306.45,322.14,905.79,16.1,13.33333333
309.36,315.21,322.93,896.12,11.04,11.66666667
310.75,313.62,322.47,867.11,14.18,13.33333333
309.29,316.76,322.89,870.33,13.57,13.33333333
310.05,313.27,322.27,889.67,12.73,15
310.27,315.65,322.73,860.66,14.11,13.33333333
309.23,314.71,322.25,876.78,13.95,13.33333333
309.71,315.68,322.66,860.66,13.72,16.66666667
309.89,314.49,322.4,825.2,13.26,13.33333333
309.86,315.35,322.67,763.96,12.73,6.666666667
309.72,314.67,322.42,828.42,6.75,13.33333333
309.71,313.6,322.69,767.18,8.97,11.66666667
309.9,312.8,322.44,844.54,11.88,13.33333333
309.44,314.04,322.29,812.31,11.42,6.666666667
309.82,312.56,322.57,802.64,10.73,15
309.48,313.48,322.45,844.54,10.81,11.66666667
309.72,312.85,322.33,854.21,11.27,11.66666667
309.55,313.05,322.48,889.67,10.89,10
309.67,312.41,322.38,876.78,10.81,10
309.63,312.78,322.61,863.88,11.42,13.33333333
309.26,311.62,322.3,828.42,11.04,11.66666667
309.67,311.2,322.63,870.33,10.5,10
309.42,311.02,322.38,886.45,10.35,11.66666667
309.37,311.08,322.3,867.11,10.58,11.66666667
309.66,310.58,322.46,899.34,11.19,10
309.24,310.23,322.22,892.89,12.04,11.66666667
309.61,311.1,322.39,892.89,10.04,6.666666667
309.36,312.12,322.28,921.9,10.73,13.33333333
309.51,311.09,322.13,876.78,10.58,8.333333333
309.46,311.87,322.33,896.12,11.5,11.66666667
309.2,311.54,322.18,854.21,10.58,11.66666667
309.59,311.46,322.36,915.46,10.73,13.33333333
309.31,311.43,322.25,931.58,10.43,11.66666667
309.26,311.91,322.24,870.33,11.58,11.66666667
309.45,312.71,322.41,883.22,12.42,10
309.36,313.17,322.26,825.2,11.81,13.33333333
309.18,313.48,322.28,883.22,11.73,11.66666667
309.3,313.8,322.31,860.66,12.5,13.33333333
309.31,314.08,322.32,896.12,12.65,13.33333333
309.14,314.22,322.18,863.88,12.5,11.66666667
309.17,314.69,322.28,828.42,12.04,11.66666667
309.12,315.27,322.25,863.88,13.18,15
309.15,315.61,322.27,825.2,12.88,13.33333333
309.15,315.22,322.18,880,12.8,6.666666667
309.04,315.31,322.17,896.12,12.5,13.33333333
309.16,315.96,322.31,805.86,12.11,10
309,315.34,322.06,812.31,9.58,15
308.98,316.12,322.19,857.44,11.42,10
309.13,315.3,322.24,831.65,10.73,10
308.87,315.15,322.12,815.53,10.12,6.666666667
309.01,314.62,322.05,799.41,11.27,6.666666667
308.92,314.13,322.23,828.42,11.27,18.33333333
308.88,313.21,322.11,841.32,11.19,15
308.91,312.4,322.14,867.11,9.97,10
308.9,312.17,322.06,880,10.58,10
308.85,311.8,322.17,825.2,12.34,13.33333333
308.9,311.96,322.1,844.54,12.27,11.66666667
308.75,311.19,322.08,847.77,11.11,10
308.85,311.63,322.09,828.42,11.81,13.33333333
308.93,310.48,321.95,867.11,11.42,13.33333333
308.79,311.23,322.01,847.77,12.11,11.66666667
