Acceleration_0,Acceleration_1,Acceleration_2,Pulling,Velocity
 308.59, 313.13, 305.37, 293.33,0.00
 308.56, 313.14, 305.39, 312.67,0.00
 308.58, 313.12, 305.36, 380.37,0.00
 308.60, 313.15, 305.36, 354.58,0.00
 308.57, 313.13, 305.36, 367.47,0.00
 308.56, 313.10, 305.38, 193.41,0.00
 308.61, 313.11, 305.34, 348.13,-0.08
 308.59, 313.14, 305.36, 267.55,0.08
 308.55, 313.12, 305.38, 361.03,0.08
 308.59, 313.13, 305.36, 364.25,0.00
 308.58, 313.12, 305.36, 348.13,0.00
 308.55, 313.13, 305.37, 399.71,-0.08
 308.60, 313.12, 305.36, 354.58,0.00
 308.58, 313.13, 305.36, 341.68,0.00
 308.58, 313.12, 305.37, 357.80,0.00
 308.59, 313.13, 305.37, 357.80,-0.08
 308.59, 313.12, 305.36, 322.34,0.00
 308.60, 313.12, 305.37, 377.14,0.08
 308.55, 313.12, 305.38, 393.26,0.00
 308.62, 313.12, 305.36, 357.80,0.08
 308.58, 313.13, 305.36, 380.37,-0.08
 308.56, 313.13, 305.38, 309.45,0.08
 308.60, 313.13, 305.36, 364.25,0.00
 308.57, 313.13, 305.37, 351.36,0.00
 308.58, 313.13, 305.36, 361.03,0.00
 308.56, 313.12, 305.39, 348.13,0.00
 308.59, 313.13, 305.35, 338.46,0.00
 308.59, 313.12, 305.36, 654.36,0.00
 308.55, 313.12, 305.38, 367.47,-0.08
 308.60, 313.12, 305.35, 370.70,0.08
 308.58, 313.13, 305.37, 377.14,0.00
 308.58, 313.13, 305.37, 277.22,0.00
 308.59, 313.13, 305.36, 377.14,0.00
 308.58, 313.12, 305.36, 357.80,-0.08
 308.58, 313.13, 305.38, 335.24,0.08
 308.58, 313.12, 305.37, 367.47,0.00
 308.60, 313.13, 305.36, 341.68,0.00
 308.57, 313.12, 305.37, 344.91,0.00
 308.59, 313.13, 305.38, 415.82,0.00
 308.58, 313.13, 305.35, 431.94,0.00
 308.58, 313.12, 305.35, 319.12,0.00
 308.57, 313.13, 305.37, 148.28,0.08
 308.58, 313.15, 305.35, 531.87,0.00
 308.63, 313.15, 305.38, 577.00,0.00
 308.59, 313.08, 305.34, 638.24,0.00
 308.60, 313.11, 305.40, 696.26,0.08
 308.54, 313.15, 305.34, 609.23,0.00
 308.52, 313.04, 305.45, 796.19,0.07
 308.59, 313.15, 305.43, 896.12,0.00
 308.71, 312.99, 305.33, 970.26,0.08
 308.37, 313.12, 305.34, 1031.50,0.00
 308.86, 313.18, 305.17, 1034.73,0.08
 308.30, 313.12, 305.39, 1224.91,0.08
 308.65, 313.22, 305.39, 1331.28,0.07
 309.11, 309.40, 304.59, 1231.36,0.00
 308.00, 307.51, 303.57, 1034.73,9.36
 308.93, 308.58, 306.22, 909.01,0.31
 307.90, 309.60, 304.07, 996.04,6.44
 308.67, 307.13, 305.72, 892.89,6.06
 308.72, 313.75, 305.10, 1005.71,7.51
 308.74, 309.42, 305.72, 1044.40,5.82
 308.48, 313.62, 305.12, 1018.61,5.90
 308.85, 311.83, 305.36, 1095.97,7.28
 308.41, 315.01, 305.33, 1060.51,9.27
 308.80, 313.54, 305.55, 1044.40,10.89
 308.85, 315.45, 305.22, 1002.49,11.65
 308.52, 313.17, 305.51, 944.47,11.58
 308.67, 312.78, 305.12, 1002.49,12.49
 308.94, 312.02, 305.17, 944.47,14.49
 308.59, 314.64, 305.31, 976.70,14.87
 308.80, 314.60, 305.41, 979.93,13.57
 308.85, 313.86, 305.12, 912.23,14.87
 308.72, 312.25, 305.33, 967.03,15.26
 309.01, 312.93, 305.27, 973.48,16.10
 308.93, 311.34, 305.18, 1047.62,15.79
 308.93, 312.02, 305.16, 967.03,16.79
 309.09, 311.64, 305.26, 934.80,17.86
 308.70, 312.86, 304.87, 973.48,17.40
 309.28, 311.76, 305.43, 989.60,17.55
 308.81, 314.50, 304.79, 992.82,18.40
 308.99, 311.99, 305.38, 976.70,18.63
 309.10, 314.16, 304.69, 896.12,19.16
 308.82, 314.26, 304.98, 973.48,18.63
 309.17, 312.13, 305.29, 954.14,20.55
 309.08, 315.13, 304.87, 970.26,20.70
 309.12, 314.19, 305.02, 970.26,19.70
 309.03, 313.65, 304.82, 905.79,20.24
 309.34, 312.59, 305.08, 931.58,21.16
 309.42, 312.56, 305.13, 1537.58,22.08
 309.34, 311.69, 305.09, 938.02,22.69
 309.51, 312.09, 304.98, 909.01,22.46
 309.42, 311.28, 304.94, 857.44,22.84
 309.38, 312.41, 304.84, 944.47,23.46
 309.40, 312.62, 304.86, 967.03,23.84
 309.54, 313.63, 304.93, 722.05,23.99
 309.52, 313.28, 305.11, 925.13,24.61
 309.46, 314.94, 304.88, 883.22,24.69
 309.64, 314.44, 304.53, 577.00,25.91
 309.61, 310.99, 304.67, 918.68,25.07
 309.68, 313.95, 304.77, 938.02,26.06
 309.70, 314.34, 304.80, 905.79,25.76
 309.76, 311.09, 304.64, 880.00,25.99
 310.05, 311.32, 304.82, 899.34,26.91
 309.92, 311.72, 304.85, 892.89,27.98
 310.11, 310.63, 304.62, 941.25,27.98
 309.98, 313.09, 304.66, 944.47,29.51
 310.04, 311.86, 304.59, 902.56,29.74
 309.93, 315.83, 304.55, 954.14,30.97
 310.26, 313.45, 304.94, 960.59,32.27
 309.92, 313.39, 303.92, 725.27,33.88
 310.22, 314.22, 304.82, 921.90,34.58
 310.29, 313.09, 304.41, 844.54,35.26
 309.97, 314.26, 303.81, 944.47,35.42
 310.65, 313.04, 304.79, 909.01,36.41
 310.53, 315.33, 304.67, 909.01,36.03
 310.52, 315.43, 304.38, 925.13,36.87
 310.34, 314.63, 303.94, 854.21,37.72
 310.54, 313.97, 304.03, 899.34,38.10
 310.64, 311.47, 304.26, 918.68,39.18
 310.90, 311.61, 304.72, 857.44,39.17
 310.96, 311.28, 304.80, 867.11,38.79
 311.13, 312.60, 304.86, 818.75,39.25
 311.46, 313.59, 304.48, 834.87,38.26
 310.95, 313.17, 304.39, 834.87,35.95
 310.92, 313.60, 303.78, 802.64,37.10
 311.09, 314.45, 303.65, 812.31,38.18
 311.08, 312.99, 303.63, 815.53,37.41
 311.25, 311.04, 303.90, 812.31,37.49
 311.43, 310.98, 304.56, 796.19,36.19
 311.49, 312.25, 304.90, 850.99,38.10
 311.63, 312.07, 304.92, 834.87,37.18
 311.44, 313.05, 304.67, 770.40,37.26
 311.45, 313.76, 304.14, 754.29,37.49
 311.42, 315.30, 303.78, 786.52,37.18
 311.50, 313.81, 303.75, 799.41,38.10
 311.79, 314.10, 303.63, 805.86,38.41
 311.73, 312.78, 303.96, 751.06,37.95
 311.90, 311.25, 304.31, 799.41,36.57
 311.82, 312.17, 304.76, 828.42,37.64
 311.95, 311.98, 304.96, 841.32,37.33
 312.28, 313.93, 304.55, 751.06,37.03
 311.93, 314.08, 304.16, 731.72,37.71
 312.03, 314.29, 303.28, 815.53,36.11
 311.79, 315.89, 303.25, 818.75,37.33
 312.11, 313.87, 303.30, 786.52,37.49
 312.36, 311.44, 303.73, 751.06,36.64
 312.23, 311.20, 304.27, 921.90,38.26
 312.61, 310.80, 304.63, 850.99,36.72
 312.30, 311.88, 304.96, 838.10,39.10
 312.45, 313.06, 304.44, 880.00,36.95
 312.53, 315.25, 303.98, 805.86,39.18
 312.44, 314.49, 303.55, 783.30,37.64
 312.66, 314.91, 303.27, 780.07,37.64
 312.54, 313.05, 303.54, 834.87,36.95
 312.59, 311.40, 303.76, 825.20,36.49
 312.90, 312.02, 304.22, 802.64,37.64
 312.72, 312.54, 304.47, 841.32,36.34
 312.81, 312.12, 304.73, 825.20,37.72
 312.72, 315.33, 304.47, 841.32,36.72
 312.69, 314.30, 303.94, 815.53,37.18
 312.86, 315.40, 303.33, 783.30,38.10
 313.21, 314.29, 303.25, 809.08,36.03
 313.03, 312.57, 303.09, 773.63,37.95
 313.09, 313.06, 303.61, 805.86,36.95
 313.06, 312.37, 304.12, 844.54,38.48
 313.12, 313.07, 304.25, 792.97,37.64
 313.33, 311.49, 304.37, 760.73,34.80
 313.02, 313.21, 304.37, 799.41,37.10
 313.49, 312.71, 303.78, 850.99,36.19
 313.31, 314.86, 303.35, 309.45,36.34
 313.37, 313.50, 303.20, 796.19,35.42
 313.47, 312.21, 303.42, 731.72,36.41
 313.47, 311.78, 303.62, 776.85,37.10
 313.63, 310.51, 303.96, 809.08,36.95
 313.61, 311.43, 304.35, 760.73,37.87
 313.76, 313.00, 304.33, 799.41,35.49
 313.88, 313.84, 304.39, 744.62,36.03
 313.81, 314.14, 303.99, 789.74,37.10
 313.89, 314.25, 303.35, 815.53,37.41
 314.01, 314.41, 303.39, 818.75,37.56
 313.77, 313.32, 303.41, 770.40,36.80
 313.98, 315.50, 303.77, 702.71,37.72
 313.96, 312.05, 304.08, 796.19,34.34
 313.91, 311.59, 304.46, 812.31,35.19
 313.78, 312.15, 304.29, 763.96,35.95
 314.13, 313.09, 303.97, 809.08,35.65
 314.14, 314.50, 303.72, 728.50,36.65
 313.96, 315.31, 303.42, 841.32,36.10
 314.16, 314.65, 303.54, 844.54,37.72
 314.38, 311.78, 303.56, 767.18,37.03
 314.25, 312.25, 303.95, 783.30,37.87
 314.86, 344.42, 293.64, 731.72,36.80
 314.25, 321.67, 303.83, 751.06,34.27
 314.35, 316.94, 304.26, 796.19,34.19
 314.35, 315.79, 303.84, 776.85,35.65
 314.28, 312.86, 303.85, 786.52,36.72
 314.45, 315.19, 303.99, 747.84,38.56
 314.42, 316.68, 303.59, 219.19,33.12
 314.60, 316.96, 303.63, 796.19,32.42
 314.56, 316.30, 303.99, 792.97,30.82
 314.63, 312.79, 303.86, 796.19,31.51
 314.77, 313.97, 304.19, 757.51,33.04
 314.62, 313.07, 303.90, 770.40,33.35
 314.79, 314.05, 303.79, 780.07,33.19
 314.67, 315.52, 303.71, 654.36,33.65
 314.63, 314.05, 303.67, 831.65,32.27
 314.90, 314.31, 303.89, 767.18,34.80
 314.77, 312.93, 303.89, 831.65,36.87
 314.90, 311.88, 304.06, 831.65,38.94
 314.92, 312.10, 303.99, 502.86,34.11
 314.94, 312.07, 303.89, 825.20,31.35
 314.95, 313.15, 304.01, 763.96,32.81
 314.91, 313.17, 303.75, 825.20,31.89
 315.04, 314.46, 303.71, 860.66,32.73
 315.16, 314.23, 303.85, 812.31,32.96
 315.06, 313.42, 303.96, 812.31,32.12
 315.16, 313.78, 304.07, 780.07,32.96
 315.10, 312.47, 304.12, 805.86,32.97
 315.39, 311.81, 304.00, 838.10,32.35
 315.25, 311.61, 304.08, 805.86,35.26
 315.47, 311.70, 303.84, 844.54,36.72
 315.45, 314.82, 303.63, 751.06,38.72
 315.27, 312.27, 303.78, 834.87,31.97
 315.30, 312.82, 303.93, 818.75,32.66
 315.27, 314.47, 304.25, 792.97,33.73
 315.26, 313.44, 304.25, 880.00,32.43
 315.38, 313.23, 304.36, 809.08,32.20
 315.58, 312.71, 304.14, 834.87,32.81
 315.72, 313.23, 303.96, 886.45,32.89
 315.57, 312.66, 303.84, 789.74,33.35
 315.69, 312.44, 303.69, 857.44,32.81
 315.76, 313.23, 303.74, 799.41,32.66
 315.70, 313.99, 303.80, 850.99,36.18
 315.73, 313.27, 304.09, 844.54,37.95
 315.54, 315.52, 304.30, 809.08,36.95
 315.81, 311.09, 304.35, 802.64,31.05
 315.80, 310.48, 304.19, 825.20,33.04
 315.88, 312.26, 304.12, 815.53,32.73
 315.96, 311.56, 303.61, 818.75,32.35
 315.79, 313.18, 303.52, 773.63,32.81
 316.16, 313.88, 303.56, 834.87,32.51
 315.95, 315.52, 303.92, 802.64,33.27
 315.73, 313.84, 304.18, 809.08,33.19
 315.87, 312.53, 304.39, 880.00,33.12
 316.01, 312.18, 304.24, 828.42,34.42
 316.01, 312.03, 304.45, 841.32,35.95
 315.97, 311.51, 304.05, 780.07,38.79
 316.25, 314.04, 304.14, 828.42,34.73
 316.22, 310.51, 303.63, 886.45,31.89
 316.11, 312.13, 303.57, 792.97,32.73
 316.12, 315.33, 304.20, 850.99,33.27
 316.01, 314.71, 304.54, 773.63,37.03
 315.74, 313.08, 304.47, 854.21,36.34
 316.04, 311.90, 304.62, 860.66,36.65
 316.28, 310.17, 304.36, 925.13,35.42
 315.30, 304.40, 304.18, 709.16,36.49
 318.51, 293.83, 294.87, 554.43,42.31
 316.34, 314.37, 304.28, 473.85,39.40
 316.14, 315.39, 304.84, 393.26,41.85
 317.44, 296.21, 301.47, 438.39,30.82
 314.54, 311.03, 310.27, 467.40,40.40
 315.71, 309.66, 306.42, 428.72,30.59
 316.88, 307.92, 303.03, 448.06,27.68
 316.56, 314.71, 304.04, 383.59,29.59
 317.25, 312.73, 303.13, 373.92,26.83
 315.73, 315.91, 304.37, 454.51,21.70
 316.54, 312.75, 305.18, 373.92,20.85
 316.82, 314.53, 303.77, 431.94,19.09
 316.13, 313.26, 303.51, 444.84,13.65
 316.51, 314.26, 305.04, 528.64,13.19
