Acceleration_0,Acceleration_1,Acceleration_2,Pulling,Velocity
 308.93, 313.12, 305.16, 109.60,0.00
 308.91, 313.11, 305.16, 119.27,0.00
 308.93, 313.13, 305.16, 116.04,0.00
 308.90, 313.10, 305.17, 116.04,0.00
 308.89, 313.12, 305.17, 96.70,0.00
 308.94, 313.11, 305.15, 109.60,0.00
 308.93, 313.12, 305.15, 83.81,0.00
 308.89, 313.12, 305.18, 106.37,0.00
 308.89, 313.12, 305.17, 106.37,0.00
 308.93, 313.13, 305.15, 93.48,0.00
 308.93, 313.12, 305.16, 741.39,0.00
 308.89, 313.11, 305.16, 0.00,0.00
 308.91, 313.13, 305.17, 0.00,0.00
 308.93, 313.12, 305.14, 96.70,0.00
 308.93, 313.11, 305.16, 93.48,0.00
 308.91, 313.12, 305.17, 67.69,0.00
 308.91, 313.11, 305.15, 93.48,0.00
 308.91, 313.12, 305.16, 106.37,0.00
 308.93, 313.11, 305.15, 99.93,0.00
 308.92, 313.13, 305.17, 77.36,0.00
 308.91, 313.10, 305.17, 109.60,0.00
 308.93, 313.12, 305.16, 112.82,0.00
 308.92, 313.12, 305.17, 90.26,0.00
 308.90, 313.10, 305.15, 116.04,0.00
 308.91, 313.13, 305.17, 103.15,0.00
 308.92, 313.11, 305.15, 132.16,0.00
 308.93, 313.12, 305.16, 103.15,0.00
 308.91, 313.12, 305.16, 77.36,0.00
 308.92, 313.11, 305.16, 119.27,0.00
 308.93, 313.13, 305.16, 196.63,0.00
 308.92, 313.11, 305.17, 70.92,0.00
 308.91, 313.13, 305.17, 87.03,0.00
 308.92, 313.11, 305.15, 103.15,0.00
 308.91, 313.12, 305.16, 93.48,0.00
 308.91, 313.13, 305.17, 119.27,0.00
 308.91, 313.12, 305.16, 90.26,0.00
 308.92, 313.13, 305.16, 77.36,0.00
 308.92, 313.11, 305.16, 145.05,0.00
 308.90, 313.13, 305.15, 87.03,0.00
 308.92, 313.11, 305.15, 93.48,0.00
 308.91, 313.12, 305.15, 103.15,0.00
 308.91, 313.12, 305.17, 109.60,0.00
 308.92, 313.11, 305.17, 135.38,0.00
 308.92, 313.12, 305.15, 106.37,0.00
 308.93, 313.11, 305.16, 96.70,0.00
 308.91, 313.12, 305.18, 116.04,0.00
 308.91, 313.11, 305.17, 141.83,0.00
 308.94, 313.12, 305.17, 109.60,0.00
 308.90, 313.11, 305.14, 148.28,0.00
 308.89, 313.12, 305.16, 109.60,0.00
 308.96, 313.12, 305.19, 109.60,0.00
 308.93, 313.10, 305.18, 170.84,0.00
 308.90, 313.11, 305.18, 206.30,0.08
 308.89, 313.11, 305.13, 225.64,0.00
 308.91, 313.12, 305.14, 319.12,0.00
 308.93, 313.10, 305.12, 370.70,0.08
 308.93, 313.09, 305.19, 444.84,0.00
 308.91, 313.04, 305.18, 522.20,0.08
 308.63, 313.11, 305.16, 686.59,0.00
 308.71, 312.98, 305.39, 757.51,0.08
 308.82, 313.04, 305.39, 825.20,0.08
 308.61, 313.00, 305.14, 941.25,0.00
 308.52, 313.13, 305.38, 1057.29,0.08
 309.21, 313.38, 305.33, 1208.79,0.15
 309.57, 329.55, 306.52, 1060.51,0.46
 309.09, 306.32, 305.72, 1079.85,3.14
 308.79, 316.71, 304.14, 1008.94,5.06
 308.45, 310.13, 306.54, 1021.83,8.28
 308.76, 319.04, 304.73, 950.92,10.35
 308.85, 309.91, 305.70, 1028.28,7.97
 309.28, 313.61, 304.71, 1066.96,10.20
 309.19, 311.48, 305.33, 1224.91,11.81
 308.85, 313.70, 304.64, 1018.61,13.03
 309.00, 311.99, 305.08, 1002.49,14.49
 308.78, 314.08, 305.17, 963.81,15.87
 309.27, 312.07, 305.14, 989.60,17.02
 309.25, 313.04, 305.15, 957.36,17.63
 309.36, 312.42, 304.97, 979.93,17.33
 309.05, 313.16, 305.14, 970.26,18.63
 308.93, 314.34, 304.78, 979.93,18.01
 309.39, 311.04, 305.21, 938.02,20.16
 311.38, 313.98, 309.04, 992.82,19.47
 309.69, 311.34, 305.43, 950.92,20.78
 309.29, 312.38, 304.92, 954.14,20.01
 309.15, 311.45, 304.90, 1008.94,20.93
 309.36, 314.57, 304.71, 954.14,21.77
 309.16, 314.50, 304.86, 960.59,21.77
 309.43, 313.25, 304.68, 973.48,21.23
 309.41, 312.93, 304.77, 970.26,22.15
 309.71, 311.66, 305.03, 960.59,22.92
 309.80, 312.07, 304.98, 944.47,23.30
 309.54, 310.49, 305.21, 976.70,23.61
 309.71, 311.33, 305.01, 970.26,23.23
 309.81, 313.39, 304.99, 979.93,24.76
 309.46, 315.14, 304.46, 918.68,24.45
 309.60, 312.45, 304.48, 925.13,25.22
 309.78, 311.37, 304.73, 941.25,26.37
 310.03, 312.62, 304.97, 931.58,25.30
 309.75, 314.65, 304.63, 902.56,26.14
 309.71, 312.01, 304.49, 899.34,26.06
 310.16, 313.45, 304.73, 899.34,27.98
