Acceleration_0,Acceleration_1,Acceleration_2,Pulling,Velocity
 310.34, 313.14, 304.49, 122.49,0.00
 310.34, 313.14, 304.48, 109.60,0.00
 310.29, 313.15, 304.50, 132.16,0.00
 310.38, 313.10, 304.47, 116.04,0.00
 310.30, 313.14, 304.49, 83.81,0.00
 310.31, 313.09, 304.48, 135.38,0.00
 310.34, 313.15, 304.49, 103.15,0.00
 310.36, 313.15, 304.48, 116.04,0.00
 310.30, 313.12, 304.48, 0.00,0.00
 310.33, 313.16, 304.50, 103.15,0.00
 310.35, 313.11, 304.48, 116.04,0.00
 310.32, 313.15, 304.48, 141.83,0.00
 310.33, 313.12, 304.48, 103.15,0.00
 310.32, 313.14, 304.49, 132.16,0.00
 310.34, 313.14, 304.48, 132.16,0.00
 310.32, 313.11, 304.48, 112.82,0.00
 310.33, 313.15, 304.48, 106.37,0.00
 310.35, 313.11, 304.47, 128.94,0.00
 310.33, 313.15, 304.49, 99.93,0.00
 310.33, 313.13, 304.48, 125.71,0.00
 310.34, 313.13, 304.48, 119.27,0.00
 310.32, 313.14, 304.50, 80.59,0.00
 310.34, 313.11, 304.47, 77.36,0.00
 310.31, 313.15, 304.51, 54.80,0.00
 310.34, 313.12, 304.48, 112.82,0.00
 310.35, 313.14, 304.48, 116.04,0.00
 310.29, 313.14, 304.50, 135.38,0.00
 310.32, 313.14, 304.49, 112.82,0.00
 310.35, 313.13, 304.47, 109.60,0.00
 310.28, 313.14, 304.49, 116.04,0.00
 310.37, 313.13, 304.46, 106.37,0.00
 310.30, 313.14, 304.49, 119.27,0.00
 310.33, 313.14, 304.48, 154.73,0.00
 310.32, 313.14, 304.48, 106.37,0.00
 310.30, 313.14, 304.47, 122.49,0.00
 310.39, 313.14, 304.47, 135.38,0.00
 310.29, 313.13, 304.51, 141.83,0.00
 310.15, 313.05, 304.52, 112.82,0.00
 310.44, 313.19, 304.46, 180.51,0.00
 310.31, 313.10, 304.49, 138.61,0.00
 310.30, 313.12, 304.55, 135.38,0.00
 310.35, 313.15, 304.50, 170.84,0.00
 310.29, 313.09, 304.46, 193.41,0.07
 310.46, 313.20, 304.48, 235.31,0.00
 310.28, 313.07, 304.56, 293.33,0.00
 310.31, 313.15, 304.52, 396.48,0.00
 310.36, 313.11, 304.48, 486.74,0.07
 310.19, 313.05, 304.61, 570.55,0.00
 310.38, 313.01, 304.59, 606.01,0.08
 310.39, 313.00, 304.33, 683.37,0.00
 310.41, 313.10, 304.38, 767.18,0.07
 310.66, 313.19, 304.54, 834.87,0.07
 310.30, 313.19, 304.05, 979.93,0.00
 310.59, 313.24, 304.57, 1105.64,0.08
 309.95, 313.15, 304.72, 1353.85,0.07
 311.32, 311.95, 304.85, 1537.58,4.29
 310.38, 310.23, 302.91, 802.64,12.95
 309.63, 309.22, 305.23, 950.92,5.91
 311.10, 311.50, 304.08, 1025.05,7.05
 310.27, 309.56, 304.42, 1025.05,9.27
 310.53, 314.64, 303.67, 1060.51,10.11
 310.20, 309.85, 304.68, 1037.95,12.27
 310.36, 315.46, 304.36, 1015.38,14.42
 310.99, 311.68, 304.87, 809.08,13.95
 309.98, 313.81, 304.45, 992.82,14.87
 310.71, 311.59, 304.41, 996.04,17.02
 310.52, 314.49, 304.07, 986.37,16.41
 310.22, 312.82, 304.47, 1028.28,17.09
 310.73, 313.03, 304.55, 1021.83,17.79
 311.02, 313.14, 303.86, 1002.49,17.47
 310.56, 312.03, 304.81, 1028.28,18.17
 310.30, 314.24, 304.21, 992.82,19.32
 310.95, 312.65, 304.10, 967.03,19.62
 310.56, 310.82, 304.37, 1008.94,19.09
 310.58, 315.00, 304.40, 973.48,19.70
 310.89, 313.56, 304.30, 1018.61,21.08
 310.80, 312.95, 304.37, 967.03,20.93
 310.86, 310.99, 304.29, 970.26,20.39
 310.67, 312.60, 304.08, 996.04,21.62
 311.01, 313.12, 304.36, 957.36,21.54
 310.98, 313.97, 304.19, 841.32,22.46
 310.90, 313.11, 304.38, 825.20,22.62
 311.02, 313.41, 303.77, 983.15,22.69
 310.95, 313.50, 304.14, 960.59,23.61
 311.05, 313.10, 304.20, 625.35,24.30
 311.10, 311.46, 304.32, 976.70,24.76
 311.38, 311.69, 304.41, 1060.51,25.68
 311.02, 313.35, 304.14, 938.02,25.07
 311.14, 313.65, 304.46, 938.02,25.53
 311.40, 314.02, 303.91, 938.02,26.14
 311.04, 310.51, 304.06, 883.22,26.45
 311.46, 313.41, 304.30, 912.23,26.37
 311.66, 314.16, 304.21, 899.34,26.37
 311.39, 311.50, 303.98, 921.90,26.90
 311.57, 313.41, 304.44, 896.12,27.07
 311.61, 310.19, 303.92, 886.45,28.13
 311.91, 312.88, 304.31, 741.39,28.36
 311.65, 310.75, 303.88, 857.44,28.67
 311.69, 313.61, 304.26, 863.88,28.98
 311.78, 312.96, 303.92, 809.08,29.67
 311.66, 313.65, 304.01, 870.33,31.04
 312.01, 315.09, 304.58, 1083.08,30.90
 311.73, 313.00, 303.62, 863.88,31.58
 311.87, 311.74, 303.72, 860.66,32.20
 312.10, 313.49, 304.25, 789.74,32.43
 312.19, 313.15, 304.23, 876.78,32.51
 312.28, 314.62, 303.61, 838.10,33.27
 312.07, 313.81, 303.49, 876.78,32.66
 312.29, 312.67, 303.78, 850.99,32.89
 312.49, 311.95, 303.92, 847.77,32.89
 312.41, 310.73, 304.09, 902.56,32.81
 312.59, 312.53, 304.37, 834.87,31.58
 312.49, 311.95, 304.47, 873.55,32.43
 312.47, 314.53, 304.24, 889.67,33.58
 312.49, 315.42, 304.02, 838.10,32.12
 312.81, 314.96, 303.62, 860.66,32.74
 312.81, 316.71, 303.40, 722.05,34.34
 312.67, 314.38, 303.50, 809.08,33.27
 312.74, 312.34, 303.64, 818.75,33.19
 312.93, 310.93, 303.89, 809.08,32.97
 313.08, 310.64, 304.38, 815.53,33.35
 313.08, 312.83, 304.68, 818.75,32.74
 312.98, 312.35, 304.34, 850.99,32.58
 313.18, 312.98, 303.92, 831.65,32.66
 313.14, 314.74, 303.51, 838.10,33.19
 313.20, 312.39, 303.21, 854.21,33.81
 313.17, 313.27, 303.38, 809.08,33.42
 313.13, 313.65, 303.64, 796.19,33.73
 313.53, 311.64, 303.95, 802.64,33.27
 313.38, 313.33, 304.33, 786.52,34.50
 313.38, 313.51, 304.31, 818.75,34.34
 313.49, 314.26, 304.21, 796.19,35.26
 313.63, 315.43, 303.95, 825.20,36.19
 313.63, 314.05, 303.53, 815.53,35.72
 313.73, 314.99, 303.09, 796.19,36.64
 314.05, 313.35, 303.19, 796.19,36.41
 313.83, 312.92, 303.46, 796.19,37.11
 313.65, 311.35, 303.83, 802.64,36.41
 313.75, 311.77, 304.16, 767.18,37.71
 313.88, 312.64, 304.41, 805.86,38.10
 313.97, 313.84, 304.54, 145.05,38.56
 313.96, 315.16, 304.07, 825.20,38.03
 313.98, 313.32, 303.52, 834.87,38.09
 314.21, 315.14, 303.09, 799.41,40.41
 314.28, 312.23, 303.00, 857.44,36.94
 314.43, 313.10, 303.44, 809.08,38.48
 314.26, 310.43, 303.90, 809.08,36.56
 314.39, 312.90, 304.58, 763.96,38.79
 314.19, 312.03, 304.59, 760.73,36.03
 314.22, 313.60, 304.39, 789.74,36.72
 314.66, 314.88, 304.11, 770.40,36.80
 314.63, 313.55, 303.43, 863.88,36.88
 314.72, 313.52, 303.50, 838.10,37.87
 314.75, 313.89, 303.28, 844.54,37.56
 314.79, 312.94, 303.50, 838.10,37.33
 314.84, 311.33, 303.90, 780.07,37.03
 314.60, 311.60, 304.47, 809.08,38.03
 314.96, 311.88, 304.52, 802.64,38.02
 314.84, 313.12, 304.11, 792.97,37.79
 314.90, 315.05, 304.03, 831.65,39.33
 315.12, 313.18, 303.78, 825.20,36.94
 315.23, 314.16, 303.16, 838.10,37.03
 315.24, 314.54, 303.38, 825.20,36.72
 315.27, 312.31, 303.83, 799.41,36.95
 315.28, 313.78, 303.95, 799.41,37.11
 315.13, 311.99, 304.53, 812.31,37.72
 315.13, 313.04, 304.34, 809.08,36.88
 315.46, 313.36, 304.20, 841.32,37.03
 315.17, 315.27, 303.95, 828.42,37.95
 315.35, 315.00, 303.59, 847.77,38.33
 315.71, 312.99, 303.63, 841.32,37.64
 315.70, 314.49, 303.49, 799.41,38.48
 315.53, 312.65, 303.87, 264.32,37.49
 315.54, 312.20, 304.21, 792.97,38.41
 315.54, 311.85, 304.35, 983.15,37.64
 315.50, 311.52, 304.35, 783.30,37.33
 315.66, 312.65, 304.34, 831.65,35.49
 315.51, 314.75, 304.06, 834.87,37.03
 315.86, 314.77, 303.94, 799.41,-62762.89
 316.08, 314.38, 303.58, 802.64,37.49
 316.02, 312.91, 303.70, 818.75,36.64
 316.10, 311.79, 303.84, 825.20,38.33
 316.06, 312.46, 303.99, 847.77,38.02
 315.92, 312.80, 304.20, 783.30,38.18
 315.97, 312.26, 304.21, 841.32,37.79
 316.06, 314.23, 304.28, 802.64,38.48
 316.17, 315.47, 304.08, 809.08,38.64
 316.09, 314.90, 303.91, 825.20,37.87
 316.38, 314.06, 303.89, 825.20,37.79
 316.29, 313.89, 303.98, 834.87,37.03
 316.45, 312.40, 303.97, 834.87,35.80
 316.35, 310.99, 304.24, 825.20,36.57
 316.28, 312.16, 304.52, 767.18,37.56
 316.33, 311.89, 304.18, 776.85,35.95
 316.38, 312.14, 304.49, 799.41,37.87
 316.35, 312.88, 304.08, 860.66,36.80
 316.52, 314.21, 303.95, 812.31,38.56
 316.53, 313.67, 304.13, 854.21,37.64
 316.59, 313.04, 304.10, 850.99,38.25
 316.65, 313.54, 304.22, 834.87,37.79
 316.77, 311.84, 304.27, 889.67,38.18
 316.71, 311.82, 304.35, 844.54,37.87
 316.80, 312.06, 304.30, 854.21,36.87
 316.61, 312.17, 304.41, 789.74,36.64
 316.86, 313.08, 304.32, 883.22,35.80
 316.75, 314.89, 304.23, 876.78,37.03
 317.00, 314.08, 304.44, 899.34,36.57
 316.82, 312.55, 304.33, 886.45,35.72
 316.97, 314.84, 304.29, 850.99,37.18
 316.78, 314.78, 304.17, 867.11,38.33
 316.97, 313.67, 304.40, 863.88,38.25
 317.09, 313.57, 304.41, 892.89,37.03
 317.03, 312.33, 304.56, 867.11,37.26
 316.98, 311.48, 304.67, 825.20,39.02
 317.34, 312.41, 304.54, 838.10,38.02
 317.32, 312.82, 304.03, 880.00,37.41
 317.42, 313.43, 304.09, 841.32,36.41
 317.17, 314.52, 304.35, 883.22,37.33
 317.05, 314.27, 304.47, 422.27,36.87
 317.15, 314.15, 304.62, 889.67,37.33
 317.20, 313.90, 304.63, 863.88,36.03
 317.33, 313.08, 304.66, 867.11,36.95
 317.35, 311.74, 304.74, 857.44,36.87
 317.37, 312.16, 304.65, 860.66,36.64
 317.75, 313.11, 304.36, 854.21,37.87
 317.72, 312.77, 304.22, 873.55,36.80
 317.56, 313.04, 304.27, 850.99,36.64
 317.56, 314.63, 304.51, 854.21,36.80
 317.65, 314.96, 304.76, 880.00,37.33
 317.39, 314.39, 305.14, 896.12,37.49
 317.56, 313.37, 305.04, 880.00,36.03
 317.54, 312.38, 304.79, 802.64,35.34
 317.80, 312.14, 304.77, 844.54,35.57
 317.78, 311.32, 304.39, 905.79,35.57
 318.15, 313.95, 304.21, 876.78,35.72
 318.04, 314.27, 304.29, 880.00,36.49
 317.82, 314.71, 304.48, 876.78,36.18
 317.72, 314.40, 305.01, 873.55,36.11
 317.52, 313.92, 305.09, 905.79,38.10
 317.70, 312.45, 305.01, 873.55,37.33
 318.02, 311.56, 304.79, 899.34,38.71
 318.14, 312.67, 304.54, 867.11,36.87
 318.25, 312.78, 304.35, 867.11,36.49
 318.28, 312.49, 304.34, 876.78,38.56
 317.94, 314.15, 304.45, 867.11,35.95
 317.85, 313.06, 304.91, 934.80,32.20
 317.34, 310.28, 305.03, 944.47,31.20
 317.55, 314.51, 304.89, 680.15,33.42
 318.17, 315.73, 305.15, 670.48,15.10
 317.35, 315.91, 305.71, 544.76,25.91
 317.95, 311.27, 305.14, 473.85,19.85
 317.65, 314.71, 305.37, 444.84,18.25
 318.74, 312.28, 304.03, 444.84,17.48
 318.94, 319.05, 302.78, 457.73,15.64
 317.62, 313.07, 305.78, 425.49,8.66
 318.53, 311.44, 304.31, 518.97,6.90
 317.13, 316.65, 306.84, 489.96,7.90
 317.70, 311.04, 305.29, 460.95,5.75
 317.84, 312.53, 304.93, 438.39,3.45
 318.12, 314.09, 304.93, 467.40,0.00
 318.24, 312.71, 304.74, 431.94,0.00
 318.14, 313.62, 304.79, 473.85,0.08
 318.02, 313.30, 304.78, 457.73,0.00
 318.04, 313.05, 304.87, 464.18,0.00
 318.21, 313.72, 304.79, 493.19,0.00
 318.11, 312.89, 304.81, 467.40,0.00
 318.13, 313.67, 304.81, 451.28,0.00
 318.10, 313.13, 304.83, 422.27,0.00
 318.05, 313.31, 304.82, 486.74,0.00
 318.14, 313.47, 304.81, 464.18,0.00
 318.16, 313.04, 304.85, 467.40,0.00
 318.10, 313.60, 304.77, 444.84,0.00
 318.13, 313.07, 304.83, 499.63,0.00
 318.12, 313.45, 304.81, 464.18,0.00
 318.10, 313.31, 304.81, 467.40,0.00
 318.10, 313.20, 304.82, 444.84,0.00
 318.13, 313.50, 304.80, 412.60,0.00
 318.11, 313.08, 304.86, 460.95,0.00
 318.10, 313.51, 304.83, 467.40,0.00
 318.04, 312.99, 304.60, 464.18,0.00
 318.35, 313.39, 304.70, 531.87,0.08
 318.26, 313.45, 304.64, 525.42,-0.08
 318.91, 312.74, 305.09, 425.49,0.92
 318.90, 311.36, 303.61, 322.34,4.52
 313.27, 311.08, 306.70, 325.57,13.95
 319.75, 309.36, 305.00, 244.98,15.64
 316.35, 308.62, 305.45, 296.56,22.54
 316.64, 309.15, 305.73, 193.41,38.56
 317.83, 314.05, 306.94, 174.07,53.43
 318.43, 316.95, 305.19, 0.00,34.73
 319.02, 312.81, 302.48, 87.03,11.04
 319.21, 312.02, 305.37, 141.83,2.22
 318.13, 311.91, 305.24, 116.04,0.15
 317.81, 311.83, 304.70, 103.15,0.00
 318.46, 311.55, 305.36, 32.23,0.00
 318.37, 311.91, 305.03, 87.03,0.00
