Acceleration_0,Acceleration_1,Acceleration_2,Pulling,Velocity
 313.50, 313.13, 303.84, 87.03,0.00
 313.51, 313.14, 303.84, 77.36,0.00
 313.49, 313.12, 303.83, 87.03,0.00
 313.49, 313.13, 303.85, 106.37,0.00
 313.49, 313.13, 303.84, 45.13,0.00
 313.52, 313.14, 303.85, 87.03,0.00
 313.46, 313.14, 303.84, 61.25,0.00
 313.53, 313.12, 303.84, 93.48,0.00
 313.51, 313.13, 303.85, 93.48,0.00
 313.46, 313.13, 303.84, 61.25,0.00
 313.53, 313.13, 303.85, 103.15,0.00
 313.49, 313.13, 303.85, 67.69,0.00
 313.50, 313.14, 303.85, 77.36,0.00
 313.49, 313.13, 303.84, 83.81,0.00
 313.52, 313.13, 303.84, 61.25,0.00
 313.51, 313.13, 303.85, 87.03,0.00
 313.45, 313.13, 303.83, 99.93,0.00
 313.52, 313.14, 303.85, 109.60,0.00
 313.50, 313.12, 303.84, 125.71,0.00
 313.47, 313.14, 303.84, 80.59,0.00
 313.51, 313.13, 303.85, 103.15,0.00
 313.51, 313.12, 303.83, 70.92,0.00
 313.48, 313.13, 303.84, 80.59,0.00
 313.49, 313.13, 303.83, 103.15,0.00
 313.52, 313.13, 303.85, 51.58,0.00
 313.50, 313.13, 303.84, 77.36,0.00
 313.46, 313.14, 303.83, 77.36,0.00
 313.52, 313.13, 303.85, 77.36,0.00
 313.51, 313.13, 303.82, 80.59,0.00
 313.46, 313.14, 303.86, 64.47,0.00
 313.53, 313.13, 303.83, 109.60,0.00
 313.50, 313.13, 303.85, 96.70,0.00
 313.48, 313.14, 303.83, 125.71,0.00
 313.48, 313.13, 303.83, 109.60,0.00
 313.51, 313.14, 303.85, 51.58,0.00
 313.51, 313.14, 303.83, 116.04,0.00
 313.46, 313.14, 303.80, 61.25,0.00
 313.54, 313.12, 303.85, 96.70,0.00
 313.50, 313.14, 303.82, 122.49,0.00
 313.45, 313.13, 303.84, 87.03,0.00
 313.55, 313.13, 303.89, 157.95,0.08
 313.51, 313.14, 303.89, 164.40,0.00
 313.49, 313.09, 303.86, 306.23,0.07
 313.50, 313.15, 303.86, 354.58,0.00
 313.50, 313.13, 303.86, 444.84,0.15
 313.40, 313.18, 303.86, 564.10,0.00
 313.70, 313.12, 303.83, 664.03,0.08
 313.75, 313.11, 303.44, 780.07,0.07
 313.59, 313.17, 303.80, 963.81,0.08
 312.44, 313.26, 303.61, 1060.51,0.08
 313.78, 313.22, 304.22, 1395.75,0.15
 313.89, 343.34, 304.16, 902.56,1.69
 312.86, 313.15, 304.48, 1054.07,2.84
 313.63, 309.48, 302.84, 1015.38,6.44
 312.62, 314.95, 303.99, 938.02,9.89
 313.34, 311.68, 303.96, 947.69,8.66
 313.74, 314.85, 304.37, 1021.83,6.98
 313.95, 310.81, 304.02, 1034.73,11.50
 313.63, 314.13, 303.51, 1070.18,13.19
 312.96, 312.73, 304.10, 963.81,14.26
 313.53, 313.42, 303.73, 1041.17,15.48
 313.61, 312.00, 304.11, 954.14,17.17
 313.97, 313.12, 303.63, 1021.83,18.63
 313.63, 312.12, 304.06, 934.80,18.02
 314.13, 313.95, 303.66, 954.14,18.55
 313.44, 310.34, 303.97, 950.92,18.48
 313.53, 316.11, 303.53, 947.69,19.24
 314.15, 310.55, 304.38, 983.15,20.09
 313.67, 314.27, 303.63, 973.48,20.77
 314.18, 313.46, 304.01, 892.89,20.47
 314.21, 314.55, 303.62, 979.93,20.93
 313.73, 312.13, 304.15, 986.37,20.77
 314.27, 312.19, 303.34, 989.60,21.85
 313.94, 311.72, 304.18, 957.36,21.54
 314.05, 312.26, 303.75, 957.36,21.62
 314.39, 312.22, 303.95, 931.58,23.08
 314.13, 311.22, 303.87, 931.58,23.15
 314.47, 311.10, 303.87, 967.03,23.46
 314.22, 310.62, 303.92, 960.59,23.38
 314.27, 312.26, 303.15, 963.81,24.07
 314.37, 312.63, 304.16, 963.81,24.99
 314.34, 313.46, 303.69, 892.89,24.84
 314.30, 314.66, 304.10, 899.34,25.84
 314.58, 312.58, 303.47, 947.69,25.99
 314.59, 311.62, 304.05, 902.56,25.99
 314.46, 313.64, 304.01, 912.23,26.91
 314.52, 312.33, 303.61, 876.78,27.60
 314.69, 311.58, 304.08, 892.89,27.98
 314.60, 314.04, 303.80, 938.02,29.51
 314.82, 311.67, 303.91, 1112.09,30.36
 314.87, 315.30, 303.89, 902.56,31.12
 314.86, 311.84, 303.98, 889.67,30.43
 315.09, 314.88, 303.81, 899.34,31.20
 315.00, 312.33, 303.98, 941.25,32.43
 315.00, 311.86, 303.58, 1108.86,33.19
 315.10, 313.65, 304.35, 905.79,33.81
 315.41, 311.90, 303.43, 857.44,33.81
 315.19, 310.45, 303.66, 921.90,35.50
 315.40, 315.08, 304.70, 912.23,36.95
 315.34, 314.46, 304.41, 844.54,36.34
 315.51, 314.37, 303.65, 899.34,37.87
 315.74, 313.48, 303.21, 867.11,37.87
 315.64, 312.98, 303.37, 351.36,38.94
 315.80, 312.14, 303.79, 880.00,39.63
 315.71, 313.82, 304.17, 873.55,40.24
 315.65, 303.60, 305.47, 876.78,36.34
 315.79, 315.36, 304.29, 847.77,29.13
