Acceleration_0,Acceleration_1,Acceleration_2,Pulling,Velocity,Difference
311.49,313.15,304.13,103.15,0.0,0.0
311.55,313.15,304.13,145.05,0.0,-1.6666666666670458
311.57,313.15,304.11,83.81,0.0,1.6666666666670458
311.5,313.15,304.13,51.58,0.0,0.0
311.54,313.15,304.13,51.58,0.0,0.0
311.55,313.15,304.12,70.92,0.0,0.0
311.51,313.14,304.13,19.34,0.0,0.0
311.54,313.15,304.13,125.71,0.0,-1.6666666666670458
311.55,313.15,304.11,51.58,0.0,1.6666666666670458
311.53,313.15,304.12,51.58,0.0,-1.6666666666670458
311.52,313.15,304.12,0.0,0.0,0.0
311.53,313.15,304.12,106.37,0.0,1.6666666666670458
311.56,313.15,304.12,116.04,0.0,0.0
311.49,313.15,304.13,125.71,0.0,0.0
311.55,313.15,304.12,83.81,0.0,0.0
311.55,313.15,304.13,103.15,0.0,0.0
311.51,313.14,304.13,83.81,0.0,0.0
311.55,313.15,304.13,83.81,0.0,-1.6666666666670458
311.52,313.15,304.13,145.05,0.0,1.6666666666670458
311.56,313.15,304.12,1124.98,0.0,0.0
311.51,313.15,304.12,93.48,0.0,-1.6666666666670458
311.54,313.15,304.12,128.94,0.0,1.6666666666670458
311.56,313.15,304.12,74.14,0.0,0.0
311.51,313.15,304.12,132.16,0.0,0.0
311.56,313.15,304.12,103.15,0.0,0.0
311.52,313.14,304.13,83.81,0.0,0.0
311.52,313.15,304.12,87.03,0.0,0.0
311.54,313.15,304.12,58.02,0.0,0.0
311.55,313.14,304.12,90.26,0.0,0.0
311.53,313.15,304.13,135.38,0.0,0.0
311.53,313.15,304.14,80.59,0.0,0.0
311.55,313.15,304.12,58.02,0.0,-1.6666666666670458
311.53,313.14,304.13,0.0,0.0,0.0
311.54,313.15,304.13,154.73,0.0,1.6666666666670458
311.54,313.15,304.12,87.03,0.0,0.0
311.55,313.14,304.13,103.15,0.0,0.0
311.53,313.15,304.13,64.47,0.0,0.0
311.52,313.14,304.12,29.01,0.0,0.0
311.54,313.15,304.11,0.0,0.0,0.0
311.54,313.15,304.12,87.03,0.0,0.0
311.53,313.14,304.12,116.04,0.0,0.0
311.55,313.15,304.11,103.15,0.0,0.0
311.53,313.14,304.12,228.86,0.0,-1.6666666666670458
311.55,313.15,304.12,161.17,0.0,1.6666666666670458
311.54,313.15,304.12,83.81,0.0,-1.6666666666670458
311.54,313.13,304.14,122.49,0.0,0.0
311.53,313.15,304.14,87.03,0.0,1.6666666666670458
311.54,313.15,304.12,87.03,0.0,0.0
311.53,313.15,304.12,119.27,0.0,0.0
311.53,313.15,304.1,132.16,0.0,0.0
311.57,313.16,304.13,161.17,0.0,0.0
311.54,313.15,304.12,222.42,0.08,0.0
311.5,313.16,304.1,261.1,0.0,0.0
311.56,313.14,304.15,393.26,0.08,0.0
311.5,313.13,304.09,428.72,0.0,0.0
311.5,313.2,304.06,444.84,0.0,0.0
311.45,313.26,304.05,554.43,0.08,0.0
311.82,313.14,304.04,609.23,0.0,0.0
312.19,313.17,304.01,763.96,0.0,0.0
311.96,313.22,304.09,802.64,0.08,0.0
311.49,313.15,304.25,921.9,0.0,0.0
312.38,313.19,304.03,1037.95,0.08,0.0
312.25,313.2,303.24,1228.13,0.08,0.0
311.9,313.17,304.02,1363.52,0.08,-1.6666666666670458
310.53,312.87,303.2,1124.98,0.15,11.666666666667425
311.15,312.78,303.25,751.06,21.69,19.99999999999981
310.49,308.57,304.1,979.93,0.08,3.333333333333144
312.66,307.98,303.97,1015.38,7.9,11.666666666666478
311.87,323.94,303.84,1089.52,8.51,10.00000000000038
312.78,301.23,306.13,799.41,13.18,18.333333333332767
311.0,309.76,301.67,841.32,3.91,8.333333333333334
311.3,321.99,305.99,931.58,14.26,8.333333333333334
312.08,322.73,302.11,886.45,5.06,11.666666666667425
311.9,296.22,304.4,892.89,11.88,9.999999999999432
313.26,315.55,302.4,1034.73,6.9,8.333333333333334
312.18,310.48,305.39,921.9,14.57,15.000000000000568
311.52,319.5,301.24,915.46,9.81,13.333333333332575
311.93,316.11,304.56,796.19,15.25,10.00000000000038
