Acceleration_0,Acceleration_1,Acceleration_2,Pulling,Velocity,Difference
310.02,313.19,322.64,58.02,0.0,0.0
310.06,313.21,322.66,58.02,0.0,0.0
309.91,313.19,322.59,58.02,0.0,0.0
310.18,313.2,322.72,80.59,0.0,0.0
309.97,313.19,322.61,51.58,0.0,0.0
309.95,313.2,322.6,83.81,0.0,0.0
310.19,313.2,322.72,74.14,0.0,1.6666666666660983
309.95,313.19,322.61,80.59,0.0,-1.6666666666660983
310.03,313.21,322.65,90.26,0.0,0.0
310.04,313.19,322.64,67.69,0.0,0.0
310.06,313.21,322.66,45.13,0.0,1.6666666666660983
310.02,313.21,322.64,74.14,0.0,-1.6666666666660983
309.96,313.2,322.61,54.8,0.0,0.0
310.15,313.2,322.7,119.27,0.0,0.0
309.96,313.19,322.61,70.92,0.0,0.0
310.02,313.21,322.64,83.81,0.0,0.0
310.11,313.19,322.69,74.14,0.0,0.0
309.97,313.2,322.63,58.02,0.0,0.0
310.05,313.21,322.65,83.81,0.0,0.0
310.01,313.2,322.62,70.92,0.0,0.0
310.09,313.21,322.66,83.81,0.0,1.6666666666660983
309.99,313.19,322.63,54.8,0.0,0.0
310.01,313.21,322.62,70.92,0.0,-1.6666666666660983
310.11,313.19,322.68,99.93,0.0,0.0
310.0,313.21,322.64,87.03,0.0,0.0
310.0,313.19,322.64,64.47,0.0,0.0
310.07,313.21,322.66,25.79,0.0,0.0
310.02,313.2,322.64,51.58,0.0,0.0
310.04,313.21,322.66,106.37,0.0,0.0
310.0,313.21,322.64,74.14,0.0,0.0
310.07,313.19,322.67,54.8,0.0,1.6666666666660983
310.01,313.2,322.63,58.02,0.0,0.0
310.0,313.2,322.63,64.47,0.0,-1.6666666666660983
310.1,313.21,322.67,99.93,0.0,0.0
310.02,313.2,322.62,61.25,0.0,0.0
310.03,313.21,322.63,12.89,0.0,0.0
310.05,313.2,322.66,38.68,0.0,0.0
310.04,313.2,322.65,58.02,0.0,0.0
310.02,313.21,322.63,103.15,0.0,0.0
310.01,313.19,322.64,251.43,0.0,0.0
310.09,313.21,322.67,74.14,0.0,0.0
310.07,313.2,322.67,70.92,0.0,0.0
310.0,313.21,322.62,90.26,0.0,0.0
310.05,313.2,322.65,103.15,0.0,0.0
310.04,313.22,322.64,96.7,0.0,0.0
310.04,313.19,322.66,70.92,0.0,0.0
310.02,313.2,322.64,77.36,0.0,0.0
310.04,313.2,322.65,45.13,0.0,0.0
310.04,313.2,322.65,90.26,0.0,0.0
310.0,313.21,322.64,58.02,0.0,0.0
310.06,313.19,322.66,54.8,0.0,0.0
310.03,313.2,322.64,54.8,0.0,0.0
310.03,313.2,322.64,151.5,0.0,0.0
310.05,313.2,322.65,103.15,0.0,0.0
310.03,313.2,322.65,90.26,0.0,0.0
310.04,313.19,322.65,77.36,0.0,0.0
310.02,313.21,322.65,83.81,0.0,0.0
310.05,313.2,322.66,45.13,0.0,0.0
310.02,313.21,322.63,109.6,0.0,0.0
310.02,313.2,322.65,74.14,0.0,0.0
310.06,313.2,322.66,83.81,0.0,0.0
310.0,313.2,322.64,58.02,0.0,0.0
310.04,313.19,322.63,83.81,0.0,0.0
310.04,313.19,322.66,138.61,0.0,0.0
310.05,313.19,322.65,77.36,0.0,1.6666666666660983
310.01,313.2,322.63,67.69,0.0,-1.6666666666660983
310.04,313.2,322.65,112.82,0.08,0.0
310.05,313.2,322.66,80.59,0.0,0.0
310.01,313.19,322.63,106.37,0.0,0.0
310.04,313.2,322.64,125.71,0.0,0.0
310.04,313.19,322.65,103.15,0.08,0.0
310.03,313.22,322.66,148.28,0.0,0.0
310.03,313.2,322.66,135.38,0.0,1.6666666666660983
310.01,313.2,322.69,235.31,0.0,0.0
310.04,313.19,322.62,296.56,0.08,-1.6666666666660983
310.01,313.19,322.61,341.68,0.0,1.6666666666660983
310.11,313.27,322.68,406.15,0.08,0.0
310.05,313.18,322.62,464.18,0.08,-1.6666666666660983
310.08,313.17,322.58,509.3,0.0,0.0
309.8,313.26,322.55,589.89,0.0,0.0
309.66,313.1,322.5,673.7,0.08,0.0
310.02,313.23,322.45,776.85,0.0,1.6666666666660983
309.68,313.05,322.58,854.21,0.0,0.0
309.45,313.26,322.27,934.8,0.08,0.0
309.72,313.33,322.88,1189.45,0.15,0.0
310.63,313.26,322.59,1460.22,0.08,-1.6666666666660983
310.64,350.03,321.86,712.38,0.38,-1.6666666666670458
