Acceleration_0,Acceleration_1,Acceleration_2,Pulling,Velocity,Difference
311.15,313.15,304.23,141.83,0.0,0.0
311.16,313.14,304.21,70.92,0.0,0.0
311.15,313.13,304.22,32.23,0.0,0.0
311.13,313.14,304.22,90.26,0.0,0.0
311.18,313.13,304.21,70.92,0.0,0.0
311.15,313.14,304.22,77.36,0.0,0.0
311.14,313.14,304.22,80.59,0.0,0.0
311.17,313.13,304.21,67.69,0.0,0.0
311.14,313.14,304.2,83.81,0.0,0.0
311.15,313.13,304.21,103.15,0.0,0.0
311.14,313.15,304.21,93.48,0.0,0.0
311.16,313.13,304.22,64.47,0.0,0.0
311.15,313.14,304.22,51.58,0.0,0.0
311.15,313.15,304.22,96.7,0.0,0.0
311.17,313.14,304.22,116.04,0.0,0.0
311.15,313.15,304.21,58.02,0.0,0.0
311.15,313.14,304.21,41.9,0.0,0.0
311.16,313.14,304.21,80.59,0.0,0.0
311.15,313.14,304.21,96.7,0.0,0.0
311.16,313.14,304.22,64.47,0.0,0.0
311.16,313.15,304.21,83.81,0.0,0.0
311.15,313.14,304.22,64.47,0.0,0.0
311.14,313.15,304.22,58.02,0.0,0.0
311.16,313.14,304.22,93.48,0.0,0.0
311.17,313.13,304.21,41.9,0.0,0.0
311.15,313.14,304.21,90.26,0.0,0.0
311.15,313.13,304.22,0.0,0.0,0.0
311.16,313.15,304.2,51.58,0.0,0.0
311.16,313.13,304.21,80.59,0.0,0.0
311.13,313.14,304.22,70.92,0.0,0.0
311.2,313.14,304.19,67.69,0.0,0.0
311.15,313.14,304.23,87.03,0.0,0.0
311.14,313.14,304.22,77.36,0.0,0.0
311.18,313.14,304.22,93.48,0.0,0.0
311.14,313.15,304.21,96.7,0.0,0.0
311.18,313.13,304.21,876.78,0.0,0.0
311.12,313.13,304.23,74.14,0.0,0.0
311.19,313.14,304.21,38.68,0.0,0.0
311.15,313.14,304.21,96.7,0.0,0.0
311.12,313.14,304.22,90.26,0.0,0.0
311.19,313.14,304.21,77.36,0.0,0.0
311.14,313.14,304.22,64.47,0.0,0.0
311.13,313.13,304.22,77.36,0.0,0.0
311.16,313.14,304.21,112.82,0.0,0.0
311.16,313.14,304.2,119.27,0.0,0.0
311.15,313.14,304.21,0.0,0.0,0.0
311.14,313.14,304.22,54.8,0.0,0.0
311.18,313.14,304.21,74.14,0.0,0.0
311.14,313.14,304.21,32.23,0.0,0.0
311.15,313.15,304.21,64.47,0.0,0.0
311.16,313.14,304.2,61.25,0.0,0.0
311.15,313.13,304.21,74.14,0.0,0.0
311.15,313.13,304.23,77.36,0.0,0.0
311.15,313.14,304.22,99.93,0.0,0.0
311.17,313.13,304.21,122.49,0.0,0.0
311.14,313.14,304.2,61.25,0.0,0.0
311.16,313.13,304.21,54.8,0.0,0.0
311.17,313.13,304.21,109.6,0.0,0.0
311.14,313.14,304.23,96.7,0.0,0.0
311.15,313.15,304.22,116.04,0.0,0.0
311.18,313.14,304.23,135.38,0.0,0.0
311.16,313.13,304.24,170.84,0.0,0.0
311.16,313.14,304.24,232.09,0.0,0.0
311.18,313.14,304.24,264.32,0.0,0.0
311.15,313.15,304.25,354.58,0.08,0.0
311.1,313.13,304.24,393.26,0.0,0.0
311.16,313.17,304.2,438.39,0.0,0.0
311.26,313.16,304.28,544.76,0.08,11.66666667
311.04,313.27,304.15,628.57,0.0,13.33333333
311.01,313.1,304.29,712.38,0.08,11.66666667
311.12,313.11,304.34,763.96,0.0,6.666666667
