Acceleration_0,Acceleration_1,Acceleration_2,Pulling,Velocity
 312.09, 313.14, 303.99, 93.48,0.00
 312.13, 313.13, 303.99, 51.58,0.00
 312.10, 313.14, 303.99, 0.00,0.00
 312.10, 313.14, 303.99, 103.15,0.00
 312.10, 313.15, 303.99, 61.25,0.00
 312.11, 313.13, 304.00, 87.03,0.00
 312.10, 313.15, 304.00, 67.69,0.00
 312.08, 313.14, 303.99, 70.92,0.00
 312.12, 313.14, 303.99, 83.81,0.00
 312.10, 313.14, 303.99, 54.80,0.00
 312.09, 313.13, 304.00, 70.92,0.00
 312.12, 313.14, 304.00, 112.82,0.00
 312.10, 313.14, 304.00, 87.03,0.00
 312.10, 313.14, 304.00, 70.92,0.00
 312.11, 313.14, 303.99, 64.47,0.00
 312.11, 313.14, 304.00, 45.13,0.00
 312.11, 313.14, 303.99, 67.69,0.00
 312.09, 313.15, 304.00, 219.19,0.00
 312.12, 313.14, 303.99, 41.90,0.00
 312.10, 313.14, 303.98, 99.93,0.00
 312.08, 313.14, 304.00, 67.69,0.00
 312.12, 313.13, 303.99, 70.92,0.00
 312.10, 313.14, 304.00, 70.92,0.00
 312.09, 313.13, 303.98, 90.26,0.00
 312.12, 313.14, 304.00, 90.26,0.00
 312.12, 313.14, 303.99, 64.47,0.00
 312.10, 313.13, 303.99, 67.69,0.00
 312.08, 313.14, 304.00, 38.68,0.00
 312.13, 313.14, 303.99, 64.47,0.00
 312.10, 313.14, 304.00, 93.48,0.00
 312.10, 313.13, 303.99, 0.00,0.00
 312.12, 313.14, 303.99, 112.82,0.00
 312.11, 313.15, 304.00, 96.70,0.00
 312.10, 313.14, 303.99, 29.01,0.00
 312.09, 313.14, 304.01, 64.47,0.00
 312.12, 313.14, 303.99, 93.48,0.00
 312.10, 313.14, 304.00, 51.58,0.00
 312.11, 313.14, 303.99, 77.36,0.00
 312.10, 313.13, 304.00, 45.13,0.00
 312.11, 313.14, 303.99, 58.02,0.00
 312.10, 313.15, 303.99, 74.14,0.00
 312.11, 313.14, 303.99, 67.69,0.00
 312.12, 313.14, 303.99, 67.69,0.00
 312.08, 313.14, 304.00, 64.47,0.00
 312.12, 313.14, 303.99, 67.69,0.00
 312.11, 313.14, 303.99, 244.98,0.00
 312.09, 313.14, 304.01, 116.04,0.00
 312.10, 313.14, 304.00, 80.59,0.00
 312.11, 313.14, 303.99, 35.46,0.00
 312.12, 313.14, 303.99, 70.92,0.00
 312.10, 313.14, 304.00, 61.25,0.00
 312.11, 313.14, 303.99, 87.03,0.00
 312.10, 313.14, 303.97, 103.15,0.00
 312.08, 313.14, 303.96, 51.58,0.00
 312.11, 313.13, 303.95, 74.14,0.00
 312.10, 313.15, 303.97, 135.38,0.00
 312.09, 313.14, 303.97, 135.38,0.00
