Acceleration_0,Acceleration_1,Acceleration_2,Pulling,Velocity
 308.53, 313.13, 305.40, 77.36,0.00
 308.52, 313.14, 305.41, 106.37,0.00
 308.53, 313.14, 305.39, 77.36,0.00
 308.52, 313.13, 305.40, 116.04,0.00
 308.53, 313.13, 305.40, 103.15,0.00
 308.52, 313.13, 305.40, 64.47,0.00
 308.51, 313.13, 305.41, 96.70,0.00
 308.52, 313.13, 305.40, 106.37,0.00
 308.52, 313.13, 305.42, 99.93,0.00
 308.53, 313.14, 305.39, 87.03,0.00
 308.52, 313.13, 305.39, 41.90,0.00
 308.51, 313.13, 305.41, 103.15,0.00
 308.53, 313.14, 305.41, 96.70,0.00
 308.52, 313.14, 305.40, 154.73,0.00
 308.54, 313.13, 305.40, 135.38,0.00
 308.53, 313.13, 305.40, 122.49,0.00
 308.51, 313.13, 305.41, 148.28,0.00
 308.53, 313.13, 305.41, 116.04,0.00
 308.52, 313.14, 305.39, 212.75,0.00
 308.52, 313.14, 305.41, 174.07,0.00
 308.52, 313.14, 305.40, 109.60,0.00
 308.52, 313.13, 305.41, 157.95,0.00
 308.53, 313.13, 305.41, 116.04,0.00
 308.53, 313.13, 305.40, 128.94,0.00
 308.52, 313.14, 305.41, 119.27,0.00
 308.52, 313.13, 305.40, 90.26,0.00
 308.54, 313.13, 305.40, 106.37,0.00
 308.53, 313.13, 305.40, 141.83,0.00
 308.68, 313.11, 305.27, 167.62,0.00
 308.24, 313.09, 305.48, 103.15,0.00
 308.45, 313.20, 305.49, 64.47,0.00
 308.85, 313.04, 305.19, 96.70,0.00
 308.29, 313.21, 305.58, 93.48,0.00
 308.60, 313.08, 305.36, 138.61,0.00
 308.38, 313.15, 305.49, 116.04,0.00
 308.67, 313.15, 305.34, 83.81,0.00
 308.56, 313.09, 305.35, 141.83,0.00
 308.25, 313.18, 305.59, 157.95,0.00
 308.77, 313.08, 305.24, 103.15,0.00
 308.54, 313.18, 305.43, 132.16,0.00
 308.35, 313.11, 305.54, 109.60,0.00
 308.70, 313.12, 305.31, 116.04,0.00
 308.53, 313.17, 305.42, 122.49,0.00
 308.45, 313.08, 305.44, 125.71,0.00
 308.52, 313.18, 305.41, 93.48,0.00
 308.56, 313.10, 305.40, 87.03,0.00
 308.56, 313.14, 305.40, 116.04,0.00
 308.46, 313.15, 305.44, 132.16,0.00
 308.50, 313.10, 305.41, 138.61,0.00
 308.60, 313.16, 305.37, 148.28,0.00
 308.49, 313.09, 305.44, 25.79,0.00
 308.47, 313.16, 305.38, 190.18,0.00
 308.58, 313.13, 305.35, 206.30,0.07
 308.53, 313.14, 305.48, 264.32,0.00
 308.47, 313.17, 305.42, 464.18,0.08
 308.54, 313.15, 305.39, 283.66,0.00
 308.57, 313.14, 305.41, 419.05,0.07
 308.54, 313.12, 305.41, 528.64,0.00
 308.54, 313.09, 305.36, 599.56,0.00
 308.48, 313.23, 305.36, 654.36,0.07
 308.53, 313.12, 305.23, 722.05,0.07
 308.77, 313.22, 305.24, 841.32,0.00
 308.43, 312.94, 305.62, 957.36,0.08
 308.61, 313.16, 305.52, 1099.19,0.08
 308.15, 313.25, 305.52, 1260.37,0.15
 309.17, 310.72, 304.78, 1402.20,0.15
 308.44, 307.96, 304.28, 1057.29,9.20
 307.66, 309.53, 305.79, 1070.18,0.31
 308.84, 298.08, 305.62, 1099.19,6.67
 308.11, 313.19, 305.18, 1076.63,6.98
 308.81, 313.90, 305.38, 1037.95,9.05
 308.38, 317.75, 305.95, 1208.79,9.50
 308.67, 321.52, 305.78, 1041.17,9.20
 308.11, 322.22, 304.56, 1021.83,18.17
 308.71, 300.83, 305.91, 1008.94,14.18
 308.91, 305.14, 304.64, 1099.19,11.73
 309.17, 301.50, 305.81, 1005.71,15.41
 308.81, 309.56, 305.57, 1092.75,20.93
 308.67, 313.39, 305.10, 1031.50,13.95
 308.85, 310.19, 305.40, 1021.83,18.02
 308.40, 316.58, 304.92, 957.36,19.32
 308.93, 311.11, 305.59, 1070.18,18.17
 308.86, 314.69, 305.00, 1031.50,18.78
 308.80, 314.89, 305.34, 996.04,19.93
 308.95, 312.85, 305.28, 996.04,19.47
 308.99, 312.02, 305.05, 999.27,19.70
 308.87, 314.49, 304.96, 1031.50,20.55
 308.92, 314.52, 305.25, 992.82,20.70
 309.09, 313.19, 305.32, 983.15,20.77
 309.15, 312.25, 305.25, 1002.49,22.00
 309.18, 312.20, 305.34, 996.04,21.70
 309.10, 311.81, 304.99, 1021.83,22.31
 309.19, 312.94, 305.04, 996.04,22.23
 309.25, 313.89, 305.07, 999.27,22.77
