Acceleration_0,Acceleration_1,Acceleration_2,Pulling,Velocity
 313.60, 313.12, 303.84, 74.14,0.00
 313.61, 313.12, 303.84, 93.48,-0.08
 313.61, 313.12, 303.83, 16.12,-0.08
 313.62, 313.13, 303.83, 103.15,0.08
 313.60, 313.12, 303.83, 83.81,0.00
 313.61, 313.13, 303.84, 119.27,0.00
 313.63, 313.11, 303.84, 109.60,0.00
 313.60, 313.12, 303.84, 80.59,0.08
 313.61, 313.12, 303.84, 96.70,0.00
 313.62, 313.13, 303.84, 77.36,-0.08
 313.61, 313.12, 303.85, 109.60,0.08
 313.61, 313.12, 303.84, 77.36,0.00
 313.61, 313.12, 303.85, 70.92,0.00
 313.60, 313.11, 303.84, 106.37,0.00
 313.62, 313.13, 303.84, 122.49,0.00
 313.63, 313.11, 303.84, 80.59,0.00
 313.61, 313.13, 303.83, 90.26,0.00
 313.61, 313.12, 303.84, 51.58,0.08
 313.62, 313.11, 303.83, 83.81,-0.08
 313.62, 313.13, 303.85, 103.15,0.08
 313.61, 313.11, 303.83, 135.38,-0.08
 313.61, 313.14, 303.84, 67.69,0.08
 313.63, 313.12, 303.84, 51.58,0.00
 313.62, 313.13, 303.84, 70.92,0.08
 313.60, 313.13, 303.85, 70.92,0.00
 313.62, 313.12, 303.83, 103.15,0.00
 313.61, 313.12, 303.84, 125.71,0.00
 313.61, 313.12, 303.83, 61.25,0.00
 313.60, 313.12, 303.84, 109.60,0.00
 313.61, 313.11, 303.83, 99.93,0.00
 313.63, 313.12, 303.84, 83.81,0.00
 313.61, 313.12, 303.85, 87.03,-0.08
 313.61, 313.12, 303.84, 80.59,0.00
 313.62, 313.12, 303.84, 45.13,0.00
 313.62, 313.12, 303.84, 90.26,0.00
 313.62, 313.13, 303.84, 51.58,-0.08
 313.61, 313.12, 303.84, 106.37,0.08
 313.61, 313.12, 303.84, 64.47,0.08
 313.61, 313.12, 303.83, 219.19,0.00
 313.63, 313.12, 303.84, 80.59,0.00
 313.61, 313.13, 303.84, 96.70,0.00
