Acceleration_0,Acceleration_1,Acceleration_2,Pulling,Velocity,Difference
310.82,313.13,304.32,0.0,0.0,0.0
310.82,313.12,304.32,122.49,0.0,0.0
310.79,313.12,304.32,177.29,0.0,0.0
310.82,313.12,304.31,87.03,0.0,0.0
310.81,313.12,304.32,74.14,0.0,0.0
310.82,313.13,304.33,106.37,0.0,0.0
310.82,313.12,304.31,116.04,0.0,0.0
310.81,313.13,304.32,103.15,0.0,0.0
310.82,313.12,304.31,135.38,0.0,0.0
310.8,313.11,304.32,83.81,0.0,0.0
310.82,313.13,304.32,125.71,0.0,0.0
310.82,313.12,304.31,128.94,0.0,0.0
310.81,313.13,304.32,70.92,0.0,0.0
310.82,313.12,304.32,145.05,-0.08,0.0
310.82,313.12,304.32,103.15,0.08,0.0
310.82,313.12,304.31,93.48,0.0,0.0
310.81,313.13,304.31,122.49,0.0,0.0
310.82,313.13,304.31,148.28,0.0,0.0
310.82,313.12,304.31,128.94,0.08,0.0
310.8,313.13,304.32,132.16,0.0,0.0
310.82,313.13,304.31,103.15,0.0,0.0
310.82,313.12,304.32,141.83,0.0,0.0
310.81,313.12,304.32,80.59,0.0,0.0
310.83,313.13,304.32,96.7,0.0,0.0
310.81,313.12,304.32,112.82,0.0,0.0
310.83,313.12,304.32,83.81,0.0,0.0
310.8,313.12,304.33,170.84,0.0,0.0
310.82,313.12,304.3,96.7,0.0,0.0
310.82,313.12,304.32,106.37,0.0,0.0
310.8,313.13,304.33,74.14,0.0,0.0
310.83,313.13,304.31,70.92,0.0,0.0
310.82,313.12,304.32,138.61,0.0,0.0
310.81,313.12,304.31,106.37,0.0,0.0
310.82,313.13,304.33,90.26,0.0,0.0
310.81,313.13,304.31,77.36,0.0,0.0
310.85,313.13,304.3,135.38,0.0,0.0
310.8,313.12,304.32,128.94,0.0,0.0
310.82,313.12,304.32,122.49,0.0,0.0
310.8,313.13,304.33,64.47,0.0,0.0
310.85,313.13,304.3,109.6,0.0,0.0
310.84,313.12,304.32,99.93,0.0,0.0
310.82,313.12,304.31,180.51,0.0,0.0
310.79,313.13,304.32,74.14,0.0,0.0
310.82,313.12,304.31,70.92,0.0,0.0
310.83,313.13,304.31,103.15,0.0,0.0
310.82,313.13,304.32,141.83,0.0,0.0
310.79,313.12,304.32,167.62,0.0,0.0
310.84,313.12,304.31,119.27,0.0,0.0
310.83,313.12,304.3,83.81,0.0,0.0
310.77,313.12,304.34,103.15,0.0,0.0
310.84,313.13,304.32,96.7,0.0,0.0
310.82,313.13,304.32,164.4,0.0,0.0
310.8,313.11,304.32,125.71,0.0,0.0
310.81,313.13,304.35,96.7,0.0,0.0
310.87,313.13,304.39,199.85,0.0,0.0
310.81,313.12,304.32,267.55,0.08,0.0
310.81,313.1,304.32,361.03,0.0,0.0
310.86,313.15,304.28,396.48,0.08,0.0
310.69,313.13,304.22,467.4,0.08,0.0
311.14,313.19,304.53,1376.41,0.0,0.0
311.21,313.09,304.39,638.24,0.08,0.0
310.75,312.93,304.37,747.84,0.0,0.0
310.95,313.14,304.03,880.0,0.08,0.0
310.87,313.1,304.27,1083.08,0.08,0.0
311.26,275.11,298.31,899.34,0.77,0.0
309.7,309.93,304.2,1031.5,7.28,0.0
310.61,308.77,304.1,1108.86,6.82,0.0
310.53,312.69,305.68,1160.44,5.29,0.0
310.47,315.94,303.4,1124.98,6.29,11.66666667
310.65,311.56,304.52,1073.41,6.59,13.33333333
310.71,313.87,305.45,989.6,11.42,11.66666667
310.65,309.9,304.31,1115.31,10.35,6.666666667
311.22,313.82,304.4,1128.21,9.89,0.0
310.64,312.68,304.24,1089.52,11.27,18.33333333
310.89,312.46,304.04,448.06,12.57,11.66666667
311.13,312.83,304.29,1060.51,13.11,8.333333333
310.79,315.41,304.36,1108.86,13.42,10.0
310.91,313.95,304.38,1012.16,13.19,10.0
311.06,312.77,304.17,996.04,13.18,10.0
311.14,311.53,304.17,973.48,12.96,13.33333333
310.96,311.45,304.32,989.6,12.04,15.0
311.18,312.68,304.39,1008.94,12.73,11.66666667
311.12,314.76,304.03,1015.38,11.88,11.66666667
310.85,315.41,304.34,554.43,12.34,11.66666667
310.95,316.31,304.14,1005.71,11.88,11.66666667
311.1,316.1,304.24,612.45,11.5,11.66666667
311.07,317.39,304.31,1054.07,11.04,8.333333333
310.8,317.81,304.34,992.82,11.42,18.33333333
311.07,318.67,304.08,915.46,12.73,13.33333333
311.09,316.64,304.1,960.59,10.12,6.666666667
311.69,309.6,304.71,989.6,4.29,13.33333333
311.64,309.88,303.92,1147.55,17.71,11.66666667
311.13,303.06,303.71,870.33,20.16,11.66666667
311.45,314.96,304.67,1157.22,0.77,13.33333333
310.41,328.29,303.25,954.14,15.95,13.33333333
311.27,316.1,304.74,1057.29,2.68,15.0
310.99,329.28,304.2,905.79,13.65,13.33333333
311.2,311.76,303.96,1099.19,3.37,11.66666667
311.43,317.14,304.81,992.82,15.18,13.33333333
311.2,306.47,303.95,950.92,0.23,13.33333333
312.13,312.97,303.94,1031.5,18.24,11.66666667
311.28,304.72,304.4,1018.61,0.08,0.0
311.83,310.83,303.24,1070.18,1.15,20.0
311.62,289.73,304.59,918.68,8.28,5.0
311.8,309.71,303.68,1131.43,9.74,3.333333333
311.11,293.68,304.7,954.14,0.15,23.33333333
311.65,308.51,303.57,1141.1,15.87,11.66666667
311.65,302.92,304.09,912.23,18.09,10.0
311.17,313.41,304.07,1183.0,-0.08,13.33333333
311.51,309.24,303.15,950.92,9.51,11.66666667
311.42,315.02,304.86,1186.23,6.52,13.33333333
310.85,332.53,304.25,941.25,5.75,5.0
311.32,314.3,303.85,1253.92,0.23,15.0
311.28,329.04,304.61,1002.49,17.55,11.66666667
311.9,294.03,304.73,979.93,2.45,11.66666667
312.12,308.98,303.63,1137.88,16.41,11.66666667
310.86,320.5,304.41,957.36,3.37,11.66666667
311.85,311.93,303.69,1057.29,4.52,11.66666667
311.06,316.94,304.85,983.15,16.71,13.33333333
311.67,309.7,303.29,1008.94,0.23,13.33333333
311.84,313.89,304.28,1112.09,19.32,11.66666667
311.0,311.25,302.9,892.89,1.15,13.33333333
312.29,317.12,304.61,1160.44,0.23,11.66666667
310.79,336.2,303.99,944.47,20.93,13.33333333
311.82,295.6,305.05,902.56,2.53,15.0
312.28,308.46,303.3,1141.1,18.86,13.33333333
310.93,319.77,305.32,941.25,10.12,5.0
312.5,300.6,303.21,876.78,17.63,20.0
311.54,313.5,304.11,1037.95,5.67,5.0
311.79,318.75,304.17,1095.97,19.93,13.33333333
311.44,315.03,303.55,902.56,11.73,13.33333333
312.23,294.12,305.04,934.8,12.27,11.66666667
312.62,316.49,303.35,1008.94,10.96,10.0
311.01,321.42,305.43,1034.73,20.01,6.666666667
311.8,320.39,301.77,892.89,14.11,13.33333333
312.24,297.86,306.1,921.9,10.42,13.33333333
312.17,319.7,302.09,1105.64,21.08,11.66666667
311.46,312.47,305.51,967.03,15.48,10.0
311.97,321.46,301.99,986.37,18.17,11.66666667
312.34,297.62,305.95,973.48,11.73,13.33333333
311.87,317.39,302.14,1060.51,20.77,11.66666667
312.19,311.78,305.82,986.37,17.94,8.333333333
312.39,322.08,302.94,1060.51,14.34,16.66666667
311.81,316.86,304.83,970.26,25.3,6.666666667
311.72,317.61,302.59,989.6,18.86,15.0
312.39,300.71,304.48,915.46,15.33,10.0
312.42,315.09,303.26,1050.84,21.62,8.333333333
312.23,306.63,304.69,928.35,20.78,18.33333333
312.26,318.11,303.72,992.82,18.4,18.33333333
312.56,308.24,304.55,967.03,20.24,10.0
312.23,317.63,303.54,979.93,19.47,15.0
312.3,309.99,304.42,1025.05,17.56,10.0
312.49,315.36,303.34,944.47,18.7,5.0
312.36,311.86,304.34,960.59,17.17,13.33333333
312.38,315.33,303.77,960.59,17.02,11.66666667
312.38,310.4,304.04,973.48,16.64,21.66666667
312.57,316.52,303.78,957.36,18.09,0.0
312.44,314.23,304.22,915.46,16.71,25.0
312.57,312.39,303.86,941.25,17.71,13.33333333
312.71,310.82,303.83,944.47,16.48,8.333333333
312.77,308.38,303.82,928.35,12.11,8.333333333
312.63,312.04,304.02,954.14,16.41,6.666666667
312.74,308.82,303.98,909.01,14.64,18.33333333
312.81,309.78,303.76,931.58,13.8,16.66666667
312.72,310.05,303.94,899.34,13.57,8.333333333
312.79,312.44,303.85,921.9,14.11,8.333333333
312.75,313.2,303.73,973.48,14.49,15.0
312.64,315.38,303.67,883.22,13.65,13.33333333
312.67,316.22,303.85,944.47,14.03,11.66666667
312.72,317.66,303.92,899.34,13.03,16.66666667
312.71,317.22,303.93,944.47,11.5,5.0
312.43,290.34,292.43,873.55,11.12,28.33333333
312.93,311.07,304.34,1018.61,4.14,5.0
313.24,310.65,304.15,1057.29,16.1,18.33333333
312.39,322.42,304.2,928.35,14.49,5.0
313.35,303.84,303.29,883.22,6.67,10.0
313.21,312.73,303.76,1066.96,17.4,10.0
312.5,321.12,303.79,844.54,16.56,21.66666667
313.07,310.28,302.54,799.41,9.28,10.0
312.87,317.79,304.19,1041.17,10.89,10.0
312.77,335.2,303.01,870.33,10.12,8.333333333
312.74,290.14,304.48,960.59,8.97,16.66666667
313.31,309.6,303.48,1028.28,2.99,6.666666667
312.43,323.99,304.48,1044.4,15.48,16.66666667
313.86,300.96,303.06,844.54,2.91,16.66666667
312.85,314.4,303.81,1018.61,15.64,6.666666667
312.83,328.08,303.46,802.64,0.54,21.66666667
313.31,313.27,303.7,1008.94,0.69,15.0
312.75,315.94,304.38,892.89,15.56,8.333333333
313.09,307.31,304.59,1002.49,0.31,11.66666667
313.31,313.43,303.49,928.35,15.49,10.0
312.78,304.14,303.04,831.65,16.94,10.0
313.53,315.49,304.24,950.92,0.46,18.33333333
313.03,324.41,303.17,838.1,14.18,10.0
313.51,313.58,304.55,483.52,1.99,5.0
313.83,308.09,303.56,896.12,16.33,16.66666667
312.14,321.67,304.42,667.25,16.71,16.66666667
313.62,300.19,303.79,970.26,1.61,8.333333333
313.04,312.84,303.98,928.35,16.33,15.0
313.23,314.98,303.21,844.54,1.23,16.66666667
313.9,312.4,304.05,1099.19,17.02,10.0
313.17,311.71,304.26,896.12,9.51,16.66666667
