Acceleration_0,Acceleration_1,Acceleration_2,Pulling,Velocity
 309.37, 313.17, 304.92, 973.48,0.00
 309.38, 313.18, 304.91, 973.48,0.00
 309.42, 313.16, 304.89, 960.59,0.00
 309.37, 313.18, 304.92, 983.15,-0.08
 309.39, 313.17, 304.90, 954.14,0.00
 309.40, 313.18, 304.91, 912.23,0.00
 309.40, 313.18, 304.90, 970.26,0.00
 309.37, 313.18, 304.91, 989.60,0.00
 309.39, 313.18, 304.91, 986.37,-0.08
 309.41, 313.16, 304.90, 928.35,0.08
 309.36, 313.18, 304.93, 1015.38,0.00
 309.39, 313.17, 304.90, 954.14,0.00
 309.41, 313.18, 304.91, 973.48,0.00
 309.40, 313.17, 304.91, 996.04,0.00
 309.35, 313.18, 304.93, 915.46,0.00
 309.42, 313.17, 304.88, 967.03,-0.08
 309.40, 313.17, 304.91, 983.15,0.08
 309.36, 313.18, 304.92, 983.15,0.00
 309.42, 313.17, 304.90, 989.60,0.00
 309.37, 313.18, 304.92, 886.45,0.00
 309.41, 313.16, 304.89, 1015.38,0.00
 309.37, 313.18, 304.91, 976.70,0.08
 309.39, 313.17, 304.91, 957.36,0.00
 309.40, 313.18, 304.90, 892.89,0.00
 309.37, 313.17, 304.92, 928.35,0.00
 309.40, 313.18, 304.90, 970.26,0.00
 309.39, 313.18, 304.91, 989.60,0.00
 309.37, 313.17, 304.91, 986.37,0.00
 309.41, 313.18, 304.90, 934.80,0.00
 309.39, 313.16, 304.90, 928.35,0.00
 309.38, 313.18, 304.92, 983.15,0.00
 309.39, 313.18, 304.90, 983.15,0.00
 309.40, 313.17, 304.91, 983.15,0.00
 309.39, 313.17, 304.90, 970.26,0.00
 309.39, 313.16, 304.90, 954.14,-0.08
 309.39, 313.18, 304.91, 1331.28,0.08
 309.38, 313.17, 304.91, 979.93,0.00
 309.40, 313.18, 304.91, 957.36,0.00
 309.39, 313.18, 304.91, 983.15,0.00
 309.40, 313.17, 304.91, 905.79,0.00
 309.39, 313.18, 304.90, 973.48,0.00
 309.37, 313.17, 304.91, 1070.18,-0.08
 309.42, 313.17, 304.89, 986.37,0.08
 309.38, 313.16, 304.91, 996.04,0.00
 309.38, 313.18, 304.91, 909.01,0.00
 309.42, 313.17, 304.90, 825.20,0.00
 309.36, 313.17, 304.92, 902.56,0.00
 309.41, 313.18, 304.89, 905.79,0.00
 309.39, 313.18, 304.91, 1195.90,0.00
 309.39, 313.18, 304.92, 915.46,0.00
 309.40, 313.16, 304.91, 931.58,0.08
 309.37, 313.17, 304.92, 957.36,0.00
 309.40, 313.16, 304.90, 1041.17,0.00
 309.37, 313.18, 304.92, 1134.65,0.08
 309.39, 313.18, 304.90, 1231.36,0.08
 309.40, 313.17, 304.91, 1315.16,0.08
 309.75, 311.81, 303.45, 1166.89,3.99
 309.56, 308.20, 302.97, 802.64,9.89
 309.20, 314.27, 305.06, 1021.83,0.08
 309.48, 307.93, 306.76, 1186.23,0.15
 309.48, 307.48, 304.28, 867.11,1.15
 309.23, 317.21, 305.00, 1189.45,2.91
 309.57, 309.62, 303.92, 863.88,7.36
 309.63, 312.37, 304.28, 1228.13,0.15
 309.83, 310.74, 304.12, 934.80,11.81
 308.82, 315.71, 304.10, 902.56,12.65
 310.05, 317.33, 305.85, 1008.94,0.00
 308.67, 333.73, 304.16, 792.97,15.41
 309.52, 297.23, 306.01, 1112.09,0.38
 310.15, 306.62, 303.87, 918.68,15.10
 309.23, 315.81, 306.84, 896.12,9.58
 310.03, 305.29, 303.29, 1060.51,11.19
 309.18, 316.33, 305.24, 1031.50,5.98
 309.99, 313.44, 304.88, 812.31,16.02
 309.59, 326.79, 305.56, 941.25,4.68
 308.91, 303.62, 303.74, 1076.63,10.58
 310.13, 316.49, 304.74, 818.75,8.59
 309.15, 326.10, 303.91, 918.68,17.02
 309.14, 317.51, 304.09, 1057.29,4.06
 310.39, 296.98, 305.65, 954.14,17.10
 310.02, 307.85, 303.83, 892.89,9.20
 309.62, 318.14, 306.21, 896.12,15.72
 309.25, 312.04, 303.06, 1012.16,6.06
 310.49, 315.84, 304.57, 892.89,15.56
 309.37, 322.83, 303.67, 909.01,11.42
 309.69, 314.74, 306.10, 918.68,15.41
 310.37, 301.72, 304.19, 1031.50,7.90
 310.15, 313.51, 304.72, 850.99,13.72
 309.38, 321.16, 305.08, 944.47,12.27
 309.53, 320.34, 304.08, 1008.94,6.44
 311.15, 296.69, 305.91, 947.69,8.74
 309.78, 307.98, 304.00, 886.45,11.35
 309.91, 313.62, 306.09, 947.69,12.27
 309.46, 322.58, 302.16, 1073.41,7.05
 309.81, 302.22, 306.31, 902.56,16.18
 309.97, 314.02, 303.43, 915.46,8.13
 310.10, 312.27, 307.03, 883.22,12.11
 309.38, 326.29, 302.00, 1092.75,12.04
 310.16, 306.22, 306.74, 1070.18,10.27
 310.24, 306.60, 303.23, 1031.50,11.50
 310.00, 315.74, 304.63, 825.20,7.05
 309.38, 323.26, 303.97, 941.25,15.79
 310.09, 324.62, 304.85, 957.36,11.19
 309.52, 331.09, 305.16, 1031.50,8.51
 310.09, 307.79, 303.27, 1037.95,10.58
 310.51, 312.94, 305.09, 899.34,4.91
 310.13, 318.82, 303.55, 921.90,13.95
 310.05, 319.00, 306.24, 1415.09,12.96
 309.54, 324.42, 303.00, 1079.85,4.98
 310.50, 308.92, 305.25, 941.25,12.57
 310.68, 297.47, 305.07, 1002.49,6.29
 310.55, 310.74, 304.18, 876.78,11.11
 309.90, 320.68, 305.25, 847.77,14.57
 309.75, 325.67, 302.92, 1031.50,5.90
 309.96, 313.26, 305.45, 944.47,12.96
 310.64, 297.36, 303.03, 1034.73,9.97
 310.25, 314.70, 304.03, 1463.44,7.43
 309.82, 319.94, 303.81, 889.67,15.72
 310.50, 321.73, 305.88, 886.45,10.81
 309.62, 334.73, 304.46, 909.01,6.44
 310.67, 296.45, 304.35, 1054.07,13.95
 310.65, 314.64, 304.31, 876.78,4.37
 310.40, 312.33, 304.63, 854.21,15.56
 310.37, 319.89, 305.56, 870.33,11.73
 309.81, 330.11, 303.52, 1073.41,3.22
 310.29, 299.81, 305.23, 1005.71,8.97
 310.85, 308.28, 303.66, 899.34,7.59
 310.07, 318.48, 305.65, 792.97,16.94
 310.16, 336.80, 303.08, 1012.16,5.75
 310.57, 291.86, 305.18, 1095.97,10.42
 310.90, 309.23, 303.99, 931.58,2.07
 310.48, 315.72, 304.76, 834.87,13.34
 310.26, 321.72, 305.40, 815.53,18.09
 310.43, 315.22, 303.50, 1147.55,0.92
 311.39, 287.69, 304.59, 1083.08,14.03
 310.92, 309.14, 303.68, 928.35,0.84
 310.30, 320.52, 305.79, 828.42,15.02
 309.77, 338.84, 303.01, 925.13,16.33
 311.41, 290.10, 305.15, 1047.62,2.91
 311.07, 306.39, 303.59, 1034.73,14.80
 310.77, 315.39, 304.96, 763.96,6.90
 309.90, 330.19, 303.60, 931.58,15.18
 311.01, 297.53, 304.26, 1137.88,5.21
 311.34, 309.60, 303.71, 970.26,14.26
 310.43, 315.58, 304.43, 934.80,14.95
