Acceleration_0,Acceleration_1,Acceleration_2,Pulling,Velocity
 312.96, 313.14, 303.88, 103.15,0.00
 313.01, 313.15, 303.87, 74.14,0.00
 312.97, 313.15, 303.88, 112.82,0.00
 313.00, 313.14, 303.88, 54.80,0.00
 312.99, 313.14, 303.88, 70.92,0.00
 312.97, 313.14, 303.88, 106.37,0.00
 313.00, 313.14, 303.88, 106.37,0.00
 312.98, 313.15, 303.88, 0.00,0.00
 312.98, 313.14, 303.88, 119.27,0.00
 313.00, 313.14, 303.89, 145.05,0.00
 312.97, 313.15, 303.89, 125.71,0.00
 313.00, 313.14, 303.88, 122.49,0.00
 312.97, 313.15, 303.88, 161.17,0.00
 312.97, 313.14, 303.88, 164.40,0.00
 313.01, 313.14, 303.89, 174.07,0.00
 312.97, 313.15, 303.88, 125.71,0.00
 312.99, 313.14, 303.89, 80.59,0.00
 313.00, 313.14, 303.88, 112.82,0.00
 312.99, 313.14, 303.89, 151.50,0.00
 312.99, 313.14, 303.88, 116.04,0.00
 312.96, 313.15, 303.89, 154.73,0.00
 313.00, 313.14, 303.87, 103.15,0.00
 312.97, 313.15, 303.88, 122.49,0.00
 312.99, 313.12, 303.88, 151.50,0.00
 313.00, 313.16, 303.89, 103.15,0.00
 312.97, 313.13, 303.88, 138.61,0.00
 313.00, 313.13, 303.88, 106.37,0.00
 313.00, 313.15, 303.88, 164.40,0.00
 313.00, 313.13, 303.88, 125.71,0.00
 312.98, 313.16, 303.89, 157.95,0.00
 312.98, 313.14, 303.88, 0.00,0.00
 313.02, 313.14, 303.88, 51.58,0.00
 312.96, 313.14, 303.88, 87.03,0.00
 312.98, 313.13, 303.88, 106.37,0.00
 313.01, 313.15, 303.88, 125.71,0.00
 312.98, 313.13, 303.89, 125.71,0.00
 312.98, 313.15, 303.88, 83.81,0.00
 312.99, 313.13, 303.88, 103.15,0.00
 313.00, 313.15, 303.89, 141.83,0.00
 312.97, 313.15, 303.88, 154.73,0.00
 312.99, 313.13, 303.88, 0.00,0.00
 313.00, 313.15, 303.88, 16.12,0.00
 312.98, 313.13, 303.89, 199.85,0.00
 312.98, 313.15, 303.89, 212.75,0.00
 313.01, 313.11, 303.88, 180.51,0.08
 312.96, 313.15, 303.85, 251.43,0.00
 313.00, 313.15, 303.87, 328.79,0.00
 312.99, 313.14, 303.85, 438.39,0.08
 313.02, 313.13, 303.84, 480.29,0.07
 312.97, 313.13, 303.85, 557.66,0.00
 312.98, 313.06, 303.90, 589.89,0.00
 312.90, 313.07, 303.91, 631.79,0.08
 312.76, 313.22, 303.95, 683.37,0.00
 312.99, 313.26, 303.76, 744.62,0.08
 312.29, 312.97, 303.67, 850.99,0.08
 312.70, 313.06, 304.02, 973.48,0.08
 312.81, 313.22, 304.22, 954.14,0.08
 313.21, 313.20, 303.53, 1344.18,0.07
 313.82, 309.39, 304.44, 1105.64,5.44
 313.31, 307.53, 302.53, 999.27,4.91
 312.73, 302.11, 304.77, 1025.05,0.23
 313.87, 309.89, 302.99, 1195.90,9.97
 312.33, 322.58, 305.31, 1047.62,8.35
 312.98, 329.62, 302.25, 973.48,9.43
 313.34, 301.31, 305.32, 979.93,3.30
 313.67, 308.31, 303.25, 1295.82,7.67
 312.09, 321.45, 305.40, 1060.51,14.80
 312.41, 321.92, 302.74, 986.37,0.38
 313.44, 296.83, 305.52, 889.67,14.34
 313.55, 308.03, 303.41, 1208.79,2.91
 312.32, 320.81, 305.73, 1031.50,16.56
 312.79, 322.39, 302.95, 925.13,5.21
 313.59, 309.14, 303.24, 950.92,13.80
 313.37, 310.40, 303.49, 1218.46,0.46
 312.52, 320.34, 305.30, 1044.40,17.78
 313.27, 314.32, 303.74, 886.45,12.42
 313.75, 310.91, 302.60, 944.47,5.60
 313.39, 313.12, 303.74, 1173.33,17.94
 312.64, 325.03, 305.24, 1054.07,14.95
 313.00, 307.50, 304.62, 857.44,18.48
 314.25, 310.03, 303.22, 954.14,0.77
 313.13, 315.94, 304.02, 1760.00,17.17
 312.72, 330.50, 304.31, 1012.16,11.19
 313.49, 298.34, 305.14, 876.78,19.09
 314.34, 307.62, 303.18, 1031.50,1.76
 312.98, 317.70, 304.32, 1179.78,15.56
 312.78, 331.13, 303.70, 1028.28,16.56
 313.71, 296.13, 305.36, 928.35,1.00
 314.22, 307.19, 302.97, 1021.83,9.20
 313.08, 318.18, 304.65, 1163.66,9.58
 313.07, 335.15, 302.24, 1012.16,17.86
 313.97, 290.66, 305.52, 831.65,1.23
 314.43, 305.43, 302.61, 1076.63,17.32
 312.80, 321.34, 305.06, 1144.32,2.61
 313.51, 338.10, 301.28, 1012.16,17.63
 314.27, 287.53, 305.75, 880.00,6.98
 314.57, 304.84, 302.32, 876.78,10.27
 313.05, 320.56, 305.19, 1124.98,18.32
 313.61, 335.09, 301.71, 1031.50,16.48
 314.45, 287.10, 305.46, 883.22,15.64
 314.56, 306.04, 302.82, 1124.98,2.22
 314.10, 310.37, 303.43, 1157.22,16.87
 313.17, 317.08, 304.81, 986.37,10.50
 313.47, 329.40, 302.78, 844.54,16.63
 314.63, 287.23, 304.30, 889.67,5.52
 314.40, 308.48, 303.13, 1112.09,11.96
 313.27, 318.05, 304.88, 967.03,18.55
 313.75, 334.08, 302.38, 902.56,0.77
 313.95, 289.86, 305.20, 763.96,17.09
