Acceleration_0,Acceleration_1,Acceleration_2,Pulling,Velocity
 310.02, 313.19, 322.64, 58.02,0.00
 310.06, 313.21, 322.66, 58.02,0.00
 309.91, 313.19, 322.59, 58.02,0.00
 310.18, 313.20, 322.72, 80.59,0.00
 309.97, 313.19, 322.61, 51.58,0.00
 309.95, 313.20, 322.60, 83.81,0.00
 310.19, 313.20, 322.72, 74.14,0.00
 309.95, 313.19, 322.61, 80.59,0.00
 310.03, 313.21, 322.65, 90.26,0.00
 310.04, 313.19, 322.64, 67.69,0.00
 310.06, 313.21, 322.66, 45.13,0.00
 310.02, 313.21, 322.64, 74.14,0.00
 309.96, 313.20, 322.61, 54.80,0.00
 310.15, 313.20, 322.70, 119.27,0.00
 309.96, 313.19, 322.61, 70.92,0.00
 310.02, 313.21, 322.64, 83.81,0.00
 310.11, 313.19, 322.69, 74.14,0.00
 309.97, 313.20, 322.63, 58.02,0.00
 310.05, 313.21, 322.65, 83.81,0.00
 310.01, 313.20, 322.62, 70.92,0.00
 310.09, 313.21, 322.66, 83.81,0.00
 309.99, 313.19, 322.63, 54.80,0.00
 310.01, 313.21, 322.62, 70.92,0.00
 310.11, 313.19, 322.68, 99.93,0.00
 310.00, 313.21, 322.64, 87.03,0.00
 310.00, 313.19, 322.64, 64.47,0.00
 310.07, 313.21, 322.66, 25.79,0.00
 310.02, 313.20, 322.64, 51.58,0.00
 310.04, 313.21, 322.66, 106.37,0.00
 310.00, 313.21, 322.64, 74.14,0.00
 310.07, 313.19, 322.67, 54.80,0.00
 310.01, 313.20, 322.63, 58.02,0.00
 310.00, 313.20, 322.63, 64.47,0.00
 310.10, 313.21, 322.67, 99.93,0.00
 310.02, 313.20, 322.62, 61.25,0.00
 310.03, 313.21, 322.63, 12.89,0.00
 310.05, 313.20, 322.66, 38.68,0.00
 310.04, 313.20, 322.65, 58.02,0.00
 310.02, 313.21, 322.63, 103.15,0.00
 310.01, 313.19, 322.64, 251.43,0.00
 310.09, 313.21, 322.67, 74.14,0.00
 310.07, 313.20, 322.67, 70.92,0.00
 310.00, 313.21, 322.62, 90.26,0.00
 310.05, 313.20, 322.65, 103.15,0.00
 310.04, 313.22, 322.64, 96.70,0.00
 310.04, 313.19, 322.66, 70.92,0.00
 310.02, 313.20, 322.64, 77.36,0.00
 310.04, 313.20, 322.65, 45.13,0.00
 310.04, 313.20, 322.65, 90.26,0.00
 310.00, 313.21, 322.64, 58.02,0.00
 310.06, 313.19, 322.66, 54.80,0.00
 310.03, 313.20, 322.64, 54.80,0.00
 310.03, 313.20, 322.64, 151.50,0.00
 310.05, 313.20, 322.65, 103.15,0.00
 310.03, 313.20, 322.65, 90.26,0.00
 310.04, 313.19, 322.65, 77.36,0.00
 310.02, 313.21, 322.65, 83.81,0.00
 310.05, 313.20, 322.66, 45.13,0.00
 310.02, 313.21, 322.63, 109.60,0.00
 310.02, 313.20, 322.65, 74.14,0.00
 310.06, 313.20, 322.66, 83.81,0.00
 310.00, 313.20, 322.64, 58.02,0.00
 310.04, 313.19, 322.63, 83.81,0.00
 310.04, 313.19, 322.66, 138.61,0.00
 310.05, 313.19, 322.65, 77.36,0.00
 310.01, 313.20, 322.63, 67.69,0.00
 310.04, 313.20, 322.65, 112.82,0.08
 310.05, 313.20, 322.66, 80.59,0.00
 310.01, 313.19, 322.63, 106.37,0.00
 310.04, 313.20, 322.64, 125.71,0.00
 310.04, 313.19, 322.65, 103.15,0.08
 310.03, 313.22, 322.66, 148.28,0.00
 310.03, 313.20, 322.66, 135.38,0.00
 310.01, 313.20, 322.69, 235.31,0.00
