Acceleration_0,Acceleration_1,Acceleration_2,Pulling,Velocity
 308.30, 313.17, 321.70, 64.47,0.00
 308.33, 313.15, 321.71, 70.92,0.00
 308.36, 313.16, 321.75, 58.02,0.00
 308.32, 313.16, 321.72, 0.00,0.00
 308.34, 313.15, 321.73, 0.00,0.00
 308.30, 313.18, 321.69, 70.92,0.00
 308.39, 313.15, 321.76, 45.13,0.00
 308.32, 313.17, 321.70, 64.47,0.00
 308.30, 313.15, 321.69, 51.58,0.00
 308.40, 313.16, 321.77, 74.14,0.00
 308.29, 313.16, 321.70, 51.58,0.00
 308.34, 313.15, 321.73, 64.47,0.00
 308.35, 313.17, 321.72, 29.01,0.00
 308.34, 313.16, 321.72, 96.70,0.00
 308.34, 313.17, 321.72, 67.69,0.00
 308.31, 313.16, 321.70, 157.95,0.00
 308.37, 313.16, 321.76, 35.46,0.00
 308.32, 313.17, 321.70, 80.59,0.00
 308.32, 313.16, 321.71, 74.14,0.00
 308.37, 313.16, 321.75, 0.00,0.00
 308.31, 313.17, 321.70, 38.68,0.00
 308.35, 313.16, 321.72, 77.36,0.00
 308.34, 313.16, 321.72, 93.48,0.00
 308.35, 313.16, 321.75, 83.81,0.00
 308.32, 313.16, 321.71, 41.90,0.00
 308.33, 313.16, 321.72, 45.13,0.00
 308.37, 313.15, 321.75, 67.69,0.00
 308.30, 313.17, 321.71, 61.25,0.00
 308.34, 313.16, 321.72, 32.23,0.00
 308.36, 313.16, 321.72, 67.69,0.00
 308.33, 313.16, 321.71, 93.48,0.00
 308.34, 313.16, 321.72, 64.47,0.00
 308.34, 313.16, 321.72, 64.47,0.00
 308.37, 313.15, 321.75, 93.48,0.00
 308.29, 313.16, 321.68, 87.03,0.00
 308.35, 313.15, 321.74, 74.14,0.00
 308.36, 313.16, 321.73, 109.60,0.00
 308.29, 313.16, 321.70, 77.36,0.00
 308.36, 313.16, 321.72, 106.37,0.00
 308.33, 313.17, 321.72, 0.00,0.00
 308.35, 313.15, 321.73, 135.38,0.00
 308.32, 313.17, 321.70, 145.05,0.00
 308.33, 313.15, 321.74, 167.62,0.08
 308.37, 313.16, 321.74, 177.29,0.00
 308.26, 313.19, 321.74, 244.98,0.00
 308.37, 313.12, 321.76, 306.23,0.00
 308.35, 313.20, 321.72, 348.13,0.00
 308.32, 313.15, 321.80, 406.15,0.08
 308.33, 313.22, 321.71, 477.07,0.00
 308.46, 313.24, 321.78, 538.32,0.08
 308.20, 313.19, 321.56, 635.02,0.00
 307.88, 313.15, 321.19, 722.05,0.00
 307.92, 313.11, 321.40, 770.40,0.07
 308.15, 313.15, 320.94, 863.88,0.00
 307.76, 313.33, 321.33, 970.26,0.08
 307.73, 313.02, 321.00, 1105.64,0.00
 308.13, 313.35, 322.21, 1247.47,0.08
 308.67, 312.84, 322.17, 1418.32,0.08
 309.38, 334.83, 322.61, 880.00,12.03
 308.33, 303.11, 321.11, 1005.71,0.77
 307.59, 306.05, 321.17, 1005.71,8.05
 307.59, 320.58, 321.71, 847.77,5.90
 308.63, 311.15, 321.50, 1002.49,8.05
 308.07, 316.22, 322.59, 999.27,7.51
 308.20, 309.50, 321.17, 1724.54,7.59
 307.94, 312.57, 321.54, 1002.49,8.97
 308.93, 309.10, 321.53, 970.26,10.12
 307.71, 311.93, 321.61, 979.93,9.81
 308.59, 309.16, 321.68, 996.04,10.12
 307.97, 311.38, 321.70, 876.78,10.96
 308.09, 310.64, 321.27, 938.02,11.34
 308.10, 311.92, 321.65, 941.25,10.89
 308.65, 310.75, 321.56, 934.80,11.19
 308.29, 311.83, 321.73, 931.58,11.35
 307.69, 312.54, 321.29, 905.79,12.27
