Acceleration_0,Acceleration_1,Acceleration_2,Pulling,Velocity
 311.15, 313.15, 304.23, 141.83,0.00
 311.16, 313.14, 304.21, 70.92,0.00
 311.15, 313.13, 304.22, 32.23,0.00
 311.13, 313.14, 304.22, 90.26,0.00
 311.18, 313.13, 304.21, 70.92,0.00
 311.15, 313.14, 304.22, 77.36,0.00
 311.14, 313.14, 304.22, 80.59,0.00
 311.17, 313.13, 304.21, 67.69,0.00
 311.14, 313.14, 304.20, 83.81,0.00
 311.15, 313.13, 304.21, 103.15,0.00
 311.14, 313.15, 304.21, 93.48,0.00
 311.16, 313.13, 304.22, 64.47,0.00
 311.15, 313.14, 304.22, 51.58,0.00
 311.15, 313.15, 304.22, 96.70,0.00
 311.17, 313.14, 304.22, 116.04,0.00
 311.15, 313.15, 304.21, 58.02,0.00
 311.15, 313.14, 304.21, 41.90,0.00
 311.16, 313.14, 304.21, 80.59,0.00
 311.15, 313.14, 304.21, 96.70,0.00
 311.16, 313.14, 304.22, 64.47,0.00
 311.16, 313.15, 304.21, 83.81,0.00
 311.15, 313.14, 304.22, 64.47,0.00
 311.14, 313.15, 304.22, 58.02,0.00
 311.16, 313.14, 304.22, 93.48,0.00
 311.17, 313.13, 304.21, 41.90,0.00
 311.15, 313.14, 304.21, 90.26,0.00
 311.15, 313.13, 304.22, 0.00,0.00
 311.16, 313.15, 304.20, 51.58,0.00
 311.16, 313.13, 304.21, 80.59,0.00
 311.13, 313.14, 304.22, 70.92,0.00
 311.20, 313.14, 304.19, 67.69,0.00
 311.15, 313.14, 304.23, 87.03,0.00
 311.14, 313.14, 304.22, 77.36,0.00
 311.18, 313.14, 304.22, 93.48,0.00
 311.14, 313.15, 304.21, 96.70,0.00
 311.18, 313.13, 304.21, 876.78,0.00
 311.12, 313.13, 304.23, 74.14,0.00
 311.19, 313.14, 304.21, 38.68,0.00
 311.15, 313.14, 304.21, 96.70,0.00
 311.12, 313.14, 304.22, 90.26,0.00
 311.19, 313.14, 304.21, 77.36,0.00
 311.14, 313.14, 304.22, 64.47,0.00
 311.13, 313.13, 304.22, 77.36,0.00
 311.16, 313.14, 304.21, 112.82,0.00
 311.16, 313.14, 304.20, 119.27,0.00
 311.15, 313.14, 304.21, 0.00,0.00
 311.14, 313.14, 304.22, 54.80,0.00
 311.18, 313.14, 304.21, 74.14,0.00
 311.14, 313.14, 304.21, 32.23,0.00
 311.15, 313.15, 304.21, 64.47,0.00
 311.16, 313.14, 304.20, 61.25,0.00
 311.15, 313.13, 304.21, 74.14,0.00
 311.15, 313.13, 304.23, 77.36,0.00
 311.15, 313.14, 304.22, 99.93,0.00
 311.17, 313.13, 304.21, 122.49,0.00
 311.14, 313.14, 304.20, 61.25,0.00
 311.16, 313.13, 304.21, 54.80,0.00
 311.17, 313.13, 304.21, 109.60,0.00
 311.14, 313.14, 304.23, 96.70,0.00
 311.15, 313.15, 304.22, 116.04,0.00
 311.18, 313.14, 304.23, 135.38,0.00
 311.16, 313.13, 304.24, 170.84,0.00
 311.16, 313.14, 304.24, 232.09,0.00
 311.18, 313.14, 304.24, 264.32,0.00
 311.15, 313.15, 304.25, 354.58,0.08
 311.10, 313.13, 304.24, 393.26,0.00
 311.16, 313.17, 304.20, 438.39,0.00
 311.26, 313.16, 304.28, 544.76,0.08
 311.04, 313.27, 304.15, 628.57,0.00
 311.01, 313.10, 304.29, 712.38,0.08
 311.12, 313.11, 304.34, 763.96,0.00
 311.27, 313.05, 304.16, 860.66,0.08
 311.27, 313.14, 304.20, 999.27,0.00
 311.22, 313.10, 303.90, 1163.66,0.08
 310.72, 313.16, 303.95, 1363.52,0.15
 311.72, 306.10, 304.00, 950.92,0.15
 311.32, 307.46, 302.43, 1086.30,0.00
 310.92, 305.72, 303.77, 934.80,9.58
 311.48, 300.53, 304.61, 912.23,3.30
 311.10, 311.70, 304.03, 944.47,8.89
 311.06, 314.37, 304.53, 992.82,6.52
 311.26, 314.16, 304.08, 1002.49,7.44
 311.03, 313.26, 304.36, 1054.07,8.36
 311.44, 313.67, 304.24, 1041.17,8.89
 311.36, 312.96, 304.13, 950.92,10.58
 310.77, 314.32, 304.20, 889.67,10.66
 311.65, 311.95, 304.11, 883.22,10.81
 311.21, 312.77, 304.05, 973.48,11.12
 311.20, 311.46, 304.27, 938.02,11.81
 311.43, 312.60, 304.06, 960.59,11.96
 311.46, 311.45, 304.15, 905.79,11.96
 311.20, 311.61, 304.08, 892.89,10.96
 311.52, 310.61, 304.18, 757.51,10.81
 311.60, 311.19, 304.11, 957.36,11.73
 311.29, 311.50, 304.14, 957.36,12.27
 311.49, 311.90, 304.03, 934.80,11.42
 311.52, 310.92, 304.10, 931.58,10.66
 311.55, 310.91, 304.12, 954.14,11.12
 311.64, 310.99, 304.11, 954.14,11.65
