span
 464.3800
 464.4800
 464.4800
 464.3800
 464.4800
 464.4800
 464.4800
 464.4800
 464.4800
 464.4800
 464.4800
 464.3800
 464.4800
 464.4800
 464.3800
 464.3800
 464.3800
 464.4800
 464.3800
 464.3800
 464.3800
 464.4800
 464.3800
 464.4800
 464.4800
 464.4800
 464.4800
 464.4800
 464.4800
 464.3800
 464.4800
 464.4800
 464.3800
 464.3800
 464.4800
 464.4800
 464.3800
 464.3800
 464.3800
 464.4800
 464.4800
 464.4800
 464.4800
 464.3800
 464.3800
 464.4800
 464.4800
 464.4800
 464.4800
 464.4800
 464.4800
 464.4800
 464.4800
 464.4800
 464.4800
 464.4800
 464.5800
 464.4800
 464.4800
 463.7800
 463.0800
 462.5800
 461.6800
 460.6800
 460.8800
 459.5800
 458.7800
 458.6800
 458.0800
 456.9800
 456.1800
 455.8800
 455.1800
 454.2800
 453.2800
 452.9800
 452.4800
 451.2800
 450.5800
 450.0800
 449.5800
 448.8800
 448.5800
 447.7800
 446.9800
 446.0800
 445.7800
 445.0800
 444.0800
 443.1800
 442.9800
 442.3800
 441.2800
 440.4800
 440.0800
 439.5800
 438.5800
 437.7800
 437.7800
 436.6800
 435.7800
 435.6800
 434.8800
 433.8800
 433.1800
 432.9800
 432.3800
 431.1800
 430.4800
 430.0800
 429.5800
 428.5800
 427.4800
 427.2800
 426.6800
 425.8800
 425.6800
 424.8800
 423.9800
 423.0800
 422.9800
 422.0800
 421.1800
 420.4800
 420.1800
 419.4800
 418.5800
 417.6800
 417.1800
 416.7800
 415.6800
 415.0800
 415.0800
 413.9800
 413.2800
 412.9800
 412.1800
 411.1800
 410.6800
 410.3800
 409.4800
 408.3800
 407.8800
 407.5800
 406.6800
 405.7800
 405.0800
 404.8800
 403.8800
 403.6800
 402.9800
 401.7800
 401.0800
 400.6800
 400.1800
 399.1800
 398.1800
 397.9800
 397.2800
 396.3800
 395.5800
 395.2800
 394.6800
 394.6800
 393.6800
 392.7800
 392.0800
 390.8800
 390.5800
 390.0800
 388.9800
 388.2800
 388.0800
 387.3800
 386.9800
 385.7800
 385.8800
 384.6800
 384.1800
 383.3800
 382.6800
 381.9800
 381.1800
 380.6800
 379.7800
 379.4800
 378.0800
 378.1800
 376.9800
 376.9800
 375.4800
 375.3800
 374.4800
 374.3800
 372.9800
 372.8800
 371.8800
 371.7800
 370.3800
 370.3800
 369.2800
 368.4800
 367.9800
 366.8800
 366.7800
 365.7800
 365.7800
 364.4800
 364.5800
 363.1800
 363.2800
 361.5800
 361.6800
 360.3800
 360.5800
 359.0800
 359.3800
 357.8800
 357.9800
 356.4800
 356.5800
 355.2800
 355.0800
 353.6800
